panel_id,panel_name,panel_date,panel_contact,panel_type
4373,Materials Prioritisation Panel (Technology) ,14 December 2006,Mrs Janet Edwards,Panel
4414,Chemistry Prioritisation Panel (Science),24 January 2007,Dr Steve Milsom,Panel
4394,Post Doc Physics Sift Panel ,01 February 2007,NA,PanelFellowship
4417,LSCITS - 2/2/07,02 February 2007,Dr Pamela Mason,Panel
4397,Postdoctoral Fellowships Sift Panel - Mathematics,05 February 2007,NA,PanelFellowship
4400,LSI Postdoctoral Fellowships Sift Panel 2007,09 February 2007,NA,PanelFellowship
4435,Dongtan Research Networks (Eng),12 February 2007,Dr Claire Tansley,Panel
4404,Postdoc Fellowships Sift Panel - Computer Science,13 February 2007,NA,PanelFellowship
4448,Portfolio Partnerships - Outline Proposals,16 February 2007,Dr Pamela Salyer,Panel
4430,Access to Materials Research Equipment Outlines,16 February 2007,Dr Nicola Goldberg,Panel
4450,Active Aircraft Full Proposals,26 February 2007,Dr Simon Crook,Panel
4390,ICT Large Grants Panel (Technology),02 March 2007,Mrs Mary Hassan,Panel
4441,PPE Responsive Panel,14 March 2007,Miss Rachel Blackford,Panel
4420,Chemistry Prioritisation Panel (Science),14 March 2007,Mrs Michaela Simpson,Panel
4431,RAE/EPSRC Research Fellowships 2006-07,15 March 2007,NA,PanelFellowship
4398,Engineering Fellowships Sift Panel,15 March 2007,NA,PanelFellowship
4427,Mathematics Fellowships Sift Panel,15 March 2007,NA,PanelFellowship
4455,WRAP 2 Visiting Panel (ENG),19 March 2007,Dr Vicky Jones,Panel
4462,TeraGrid '07,19 March 2007,Mrs Trish Mullins,Panel
4464,Hydrogen Energy Consortia (Eng),19 March 2007,Dr Neil Bateman,Panel
4453,Chemistry/Chemical Engineering 2007,20 March 2007,Dr Christina Guindy,Panel
4443,Future Intelligent Transport Systems (FITS) (Eng),21 March 2007,Dr Richard Bailey,Panel
4415,Physics Fellowships Sift Panel,21 March 2007,NA,PanelFellowship
4451,Sustainable Nuclear Power,22 March 2007,Mr Robert Heathman,Panel
4428,Chemistry Fellowships Sift Panel 2007,22 March 2007,NA,PanelFellowship
4433,Materials Fellowships Sift Panel,27 March 2007,NA,PanelFellowship
4442,Strategic Partnerships (P&G),28 March 2007,Dr Claire Wagstaffe,Panel
4434,ICT Fellowships Sift Panel,29 March 2007,NA,PanelFellowship
4467,Challenging Engineering Sift Panel,03 April 2007,Dr Katie Finch,Panel
4454,Follow on Fund 4,03 April 2007,Mr David Mahoney,Panel
4440,ICT Prioritisation Panel Meeting,12 April 2007,Dr Joanne Ross,Panel
4437,Materials Prioritisation Panel April 07,13 April 2007,Mrs Janet Edwards,Panel
4463,HPC Software Development (Science),16 April 2007,Dr Emma Jones,Panel
4460,Engineering Science (Components) Panel,17 April 2007,Dr Prabhat Sakya,Panel
4475,Maths Advanced Fellowships Interviews 2007,17 April 2007,NA,PanelFellowship
4477,Engineering Fellowships Interview Panel,17 April 2007,NA,PanelFellowship
4480,Chemistry Advanced Fellowships Interview Panel,18 April 2007,NA,PanelFellowship
4465,Engineering Systems Panel,18 April 2007,Mr David Mahoney,Panel
4446,Engineering Science (Flow) Panel,19 April 2007,Dr Pamela Salyer,Panel
4466,Engineering SocioTech Systems (Eng),20 April 2007,Dr Pamela Salyer,Panel
4488,Green & Sustainable Chemical Technologies Sift,23 April 2007,Dr Christina Guindy,Panel
4472,RAE/EPSRC Interview Panel A,23 April 2007,NA,PanelFellowship
4444,Healthcare Engineering (Eng),24 April 2007,Dr Robin Hayden,Panel
4473,RAE/EPSRC Interview Panel B,24 April 2007,NA,PanelFellowship
4478,Physics Fellowships Interview Panel,24 April 2007,NA,PanelFellowship
4485,Materials Fellowships 2007 - Interviews,24 April 2007,NA,PanelFellowship
4489,ICT Fellowships 2007 - Interviews,24 April 2007,NA,PanelFellowship
4474,RAE/EPSRC Interview Panel C,25 April 2007,NA,PanelFellowship
4367,Physics Prioritisation Panel (Science),25 April 2007,Dr Ben Rendell,Panel
4393,Platforms Panel April 2007,26 April 2007,Dr David Holtum,Panel
4476,Collaborating for Success Through People,30 April 2007,Dr Andrew Wright,Panel
4419,Chemistry Prioritisation Panel (Science),08 May 2007,Dr Richard Aisbitt,Panel
4487,S&I Outline Panel,14 May 2007,Dr Richard Aisbitt,Panel
4468,Challenging Engineering Interview Panel,15 May 2007,Dr Katie Finch,Panel
4484,EQUAL SMART Resubmission Panel,22 May 2007,Dr Andrew Clark,Panel
4486,Fellowships Central Allocation Panel 2007,24 May 2007,NA,PanelFellowship
4439,Chemistry National Service Panel,30 May 2007,Ms Jan Tucker,Panel
4498,Probabilistic Scenarios Call - Outlines,31 May 2007,Mrs Michelle Lascelles,Panel
4408,Mathematics Prioritisation Panel (Science),06 June 2007,Dr Richard Aisbitt,Panel
4481,ICT Prioritisation Panel (Technology),07 June 2007,Dr Tracy Hanlon,Panel
4469,SUE 2 Interview Panel,07 June 2007,Dr Claire Tansley,Panel
4479,Materials Prioritisation Panel June '07,14 June 2007,Dr Anita Howman,Panel
4503,INI Mathematical Sciences Visiting Panel,19 June 2007,Mrs Jennie Harman,Panel
4471,Engineering Science (Components) Panel,19 June 2007,Dr Robin Hayden,Panel
4495,Engineering Systems Panel,20 June 2007,Dr Prabhat Sakya,Panel
4470,Engineering Science (Flow) Panel,21 June 2007,Dr Pamela Salyer,Panel
4482,Platforms Panel June 2007,26 June 2007,Dr Kathryn Magnay,Panel
4497,Next Generation Facility Users Panel,27 June 2007,Dr Simon Crook,Panel
4493,Healthcare Engineering Panel (ENG),28 June 2007,Mr David Mahoney,Panel
4421,Chemistry Prioritisation Panel (Science),02 July 2007,Dr Ben Rendell,Panel
4491,Chemistry/Chemical Engineering Full Proposal Panel,04 July 2007,Dr Talit Ghaffar,Panel
4513,RCNDE Visiting Panel (Eng),10 July 2007,Dr Katie Finch,Panel
4492,Basic Technology Call 7 Outlines,11 July 2007,Dr Craig Walker,Panel
4496,ICT Prioritisation Panel (Technology),19 July 2007,Dr Edward Whyte,Panel
4499,Access to Materials Res Equip Call (Full Proposal),20 July 2007,Dr Nicola Goldberg,Panel
4516,Flood-Risk Management Research Consortium Phase Tw,24 July 2007,Dr Richard Bailey,Panel
4368,Physics Prioritisation Panel (Science),25 July 2007,Mrs Michelle Lascelles,Panel
4504,Materials Prioritisation Panel July 07,26 July 2007,Mr Martin Sweet,Panel
4525,PAMELA 2 Visiting Panel (Engineering),27 July 2007,Dr Gareth Buchanan,Panel
4509,Green & Sustainable Chemical Technologies,31 July 2007,Dr Christina Guindy,Panel
4510,Energy Feasibility Studies,01 August 2007,Dr Neil Bateman,Panel
4535,HiFu Visiting Panel Meeting (ENG),09 August 2007,Dr Andrew Clark,Panel
4534,FABHAB Visiting Panel (Eng),13 August 2007,Dr Gareth Buchanan,Panel
4522,IMMPETUS Visiting Panel (Engineering),14 August 2007,Dr Louise Tillman,Panel
4422,Chemistry Prioritisation Panel (Science),22 August 2007,Dr Richard Aisbitt,Panel
4501,Platforms Panel August 2007,30 August 2007,Dr Nicola Goldberg,Panel
4500,ICT Prioritisation Panel (Technology),04 September 2007,Dr Tracy Hanlon,Panel
4536,ICT Large Grant Panel (Technology),05 September 2007,Dr Claire Hinchliffe,Panel
4409,Mathematics Prioritisation Panel (Science),06 September 2007,Dr Sarah Fulford,Panel
4524,E.ON-EPSRC Strategic Partnerships,07 September 2007,Mr Robert Heathman,Panel
4494,Engineering Science (Components) Panel,11 September 2007,Mr David Mahoney,Panel
4511,Bridging the Gap - Sift Panel,12 September 2007,Dr Cora O'Reilly,Panel
4527,Engineering Systems Panel,12 September 2007,Mrs Chris Elson,Panel
4518,Materials Prioritisation Panel SEPT (Technology),13 September 2007,Dr Vania Croce,Panel
4521,LSI DTC's Interview Panel,16 September 2007,Dr Gavin Salisbury,Panel
4519,Engineering Science (Flow) Panel,18 September 2007,Dr Prabhat Sakya,Panel
4526,Healthcare Engineering Panel (ENG),19 September 2007,Dr Alexander Hulkes,Panel
4520,Engineering Socio-Technical Systems,20 September 2007,Dr Emma King,Panel
4517,Programme Grants Prioritisation Panel (Eng),21 September 2007,Dr Carmine Ruggiero,Panel
4508,INTERACT 5 Panel (Eng),25 September 2007,Dr Edward Clarke,Panel
4507,Supergen 2 Renewals (Eng),26 September 2007,Dr Neil Bateman,Panel
4512,Bridging the Gap Interviews,03 October 2007,Dr Cora O'Reilly,Panel
4556,Wired and Wireless Intelligent Networked Systems 3,08 October 2007,Dr Nafeesa Simjee,Panel
4537,Chemistry Prioritisation Panel (Science),10 October 2007,Dr Joanne Ross,Panel
4531,Partnerships for Public Engagement Panel,11 October 2007,Miss Rachel Blackford,Panel
4548,Organic Synthetic Chemistry Studentships - Sift,11 October 2007,Dr Christina Guindy,Panel
4528,ICT Prioritisation Panel (Technology),18 October 2007,Dr Anita Howman,Panel
4545,Science and Innovation Awards 2007,23 October 2007,Dr Richard Aisbitt,Panel
4546,Power Networks Research Academy,26 October 2007,Dr Vania Croce,Panel
4502,Platforms Panel October 2007,29 October 2007,Dr Pamela Mason,Panel
4369,Physics Prioritisation Panel (Science),31 October 2007,Dr Ben Rendell,Panel
4552,EPSRC/BAE S4T Panel (ENG),01 November 2007,Dr Paula Duxbury,Panel
4564,Organic Synthetic Students Prioritisation Panel,08 November 2007,Dr Christina Guindy,Panel
4540,Basic Technology Translation Grants Call 2,13 November 2007,Dr Emma King,Panel
4542,Materials Prioritisation Panel November (Tech),15 November 2007,Mr Martin Sweet,Panel
4549,Engineering Science (Components) Panel,20 November 2007,Dr Prabhat Sakya,Panel
4544,Engineering Systems Panel,21 November 2007,Dr Emma King,Panel
4538,Engineering Science (Flow) Panel,22 November 2007,Mr David Mahoney,Panel
4557,Chemistry Prioritisation Panel (Science),27 November 2007,Dr Sarah Fulford,Panel
4523,Probabilistic Scenarios Peer Review Panel,27 November 2007,Dr David Holtum,Panel
4410,Mathematics Prioritisation Panel (Science),29 November 2007,Mrs Valerie Hibberd,Panel
4566,Fellowships 2008 Outline Proposals Panel A,03 December 2007,Dr Tracy Hanlon,Panel
4576,HECToR Capability Challenge,03 December 2007,Dr Dai Jenkins,Panel
4563,NSF / EPSRC Chemistry Call 2007,04 December 2007,Miss Katie Daniel,Panel
4567,Fellowships 2008 Outline Proposals Panel B,04 December 2007,Dr Tracy Hanlon,Panel
4551,Healthcare Engineering Panel (ENG),04 December 2007,Dr Alexander Hulkes,Panel
4558,Engineering Socio-Technical Systems Panel,05 December 2007,Mrs Chris Elson,Panel
4568,Fellowships 2008 Outline Proposals Panel C,05 December 2007,Dr Tracy Hanlon,Panel
4529,ICT Prioritisation Panel (Technology),06 December 2007,Mrs Janet Edwards,Panel
4569,Fellowships 2008 Outline Proposals Panel D,10 December 2007,Dr Tracy Hanlon,Panel
4570,Fellowships 2008 Outline Proposals Panel E,10 December 2007,Mrs Karen McKinna,Panel
4571,Fellowships 2008 Outline Proposals Panel F,11 December 2007,Ms Jan Tucker,Panel
4539,Platform Panel December 2007,12 December 2007,Dr Nicola Goldberg,Panel
4562,ICMS Visiting Panel (Science),14 December 2007,Ms Katharine Bowes,Panel
4565,EPSRC/MRC Info Driven Health 1 Sift Panel (ENG),14 December 2007,Dr Andrew Clark,Panel
4581,Analytical Science Studentships - Sift,18 December 2007,Miss Katie Daniel,Panel
4547,Feasibility Studies for Energy Research II,18 January 2008,Dr Vania Croce,Panel
4585,Chemistry Prioritisation Panel (Science),22 January 2008,Mrs Valerie Hibberd,Panel
4530,ICT Prioritisation Panel (Technology),24 January 2008,Mrs Gill Stephens,Panel
4587,Physical Organic Chemistry Outlines Panel 2008,28 January 2008,Ms Zoe Brown,Panel
4541,Basic Tech Call 7 Full Proposals Panel Mtng 2008,29 January 2008,Dr Craig Walker,Panel
4370,Physics Prioritisation Panel (Science),30 January 2008,Miss Samantha Madden,Panel
4561,Solar Energy Conversion Panel (ENG),31 January 2008,Dr Nathan Davies,Panel
4598,Engineering Science (Components) Panel,05 February 2008,Dr Prabhat Sakya,Panel
4584,Engineering Systems Panel,06 February 2008,Mr David Mahoney,Panel
4583,Engineering Science (Flow) Panel,07 February 2008,Miss Hayley Dash,Panel
4596,LSCITS EngDoc,07 February 2008,Dr Pamela Mason,Panel
4572,Postdoc Fellowships Sift Panel - Computer Science,11 February 2008,NA,PanelFellowship
4594,LSI Postdoctoral Research Fellowships 2008,11 February 2008,NA,PanelFellowship
4543,Materials Prioritisation Panel February (Tech),12 February 2008,Mrs Anne Farrow,Panel
4607,System Approaches to Well Being Panel,13 February 2008,Dr Gavin Salisbury,Panel
4600,Maths Postdoctoral Fellowships 2008,14 February 2008,NA,PanelFellowship
4588,Healthcare Engineering Panel (ENG),19 February 2008,Mr David Mahoney,Panel
4601,Engineering Socio-Technical Systems Panel,20 February 2008,Dr Prabhat Sakya,Panel
4603,e-Science Core Programme Platforms (Sift Panel),20 February 2008,Dr Andrew Wright,Panel
4595,Postdoc Fellowships in Theoretical Physic - Sift,20 February 2008,NA,PanelFellowship
4593,Walking and Cycling (ENG),22 February 2008,Dr Gareth Buchanan,Panel
4590, Nano IDEAS Factory Additional Funding Call Panel ,22 February 2008,Dr Talit Ghaffar,Panel
4609,Collaborative Research With China,25 February 2008,Miss Jacqui Williams,Panel
4592,Nanotechnology Grand Challenges: Energy,25 February 2008,Dr Emma Jones,Panel
4579,Platforms Panel February 2008,26 February 2008,Dr Pamela Mason,Panel
4589,Access to Nanoscience/Tech Research Equip Call,26 February 2008,Dr Matthew Ball,Panel
4599,Information Driven Health Interview panel,28 February 2008,Dr Cora O'Reilly,Panel
4574,ICT Prioritisation Panel (Technology),03 March 2008,Dr Anita Howman,Panel
4573,Postdoc Fellowships Interview Panel - Comp Science,05 March 2008,NA,PanelFellowship
4582,Nuclear Waste Management and Decommissioning,05 March 2008,Miss Jacqui Williams,Panel
4623,Senior Media Fellowships Sift Panel,05 March 2008,NA,PanelFellowship
4586,Ensuring Privacy And Consent (Eng),05 March 2008,Dr Carmine Ruggiero,Panel
4559,Mathematics Prioritisation Panel (Science),05 March 2008,Mrs Michaela Simpson,Panel
4637,LSI Postdoctoral Fellowships Interview Panel 2008,10 March 2008,NA,PanelFellowship
4622,WINES 3 Interview Panel,11 March 2008,Dr Claire Hinchliffe,Panel
4615,Chemistry Prioritisation Panel,11 March 2008,Dr Ben Rendell,Panel
4634,Sustainable Combustion Engines Visiting Panel (Eng,12 March 2008,Dr Neil Bateman,Panel
4591,EON/EPSRC Energy Efficiency,13 March 2008,Dr David Holtum,Panel
4618,Digital Economy Feasibility Studies & Networks,13 March 2008,Dr Cora O'Reilly,Panel
4633,SMART-TOG Visiting Panel (Eng),13 March 2008,Dr Helen Hunt,Panel
4604,e-Science Networking Call,13 March 2008,Dr Andrew Wright,Panel
4624,Partnerships for Public Engagement Call 11,13 March 2008,Dr Katherine Miller,Panel
4639,Mathematics Postdoctoral Interview Panel,13 March 2008,NA,PanelFellowship
4619,RAE/EPSRC Research Fellowships Sift Panel,14 March 2008,NA,PanelFellowship
4641,e-Science Platform Grants Interview Panel,17 March 2008,Ms Jan Tucker,Panel
4621,Materials Prioritisation Panel Meeting (March 08),18 March 2008,Mr Martin Sweet,Panel
4638,Systems Engineering of the Liver Visit Panel (Eng),26 March 2008,Dr Carmine Ruggiero,Panel
4640,"Postdoc Fellowship Interviews, Theoretical Physics",27 March 2008,NA,PanelFellowship
4580,Array Chemistry (2nd Call),27 March 2008,Ms Zoe Brown,Panel
4631,Innovation and Knowledge Centres - Outlines,04 April 2008,Mr Robert Heathman,Panel
4635,Engineering Science (Components) Panel,15 April 2008,Miss Hayley Dash,Panel
4632,Challenging Engineering Outline (Eng),16 April 2008,Dr Katie Finch,Panel
4642,Engineering Systems Panel ,16 April 2008,Dr Prabhat Sakya,Panel
4616,Engineering Science (Flow) Panel,17 April 2008,Mr David Mahoney,Panel
4661,Senior Media Fellowships 2008 Interviews,21 April 2008,Dr Joanna Coleman,PanelFellowshipV2
4610,ICT Prioritisation Panel (April 2008),21 April 2008,Mrs Gill Stephens,Panel
4611,ICT Programme Large Grants Panel,22 April 2008,Dr Claire Hinchliffe,Panel
4629,Healthcare Engineering Panel (ENG),22 April 2008,Dr Prabhat Sakya,Panel
4648, Programme Grants Prioritisation (Eng),23 April 2008,Dr Carmine Ruggiero,Panel
4617,Analytical Science Studentships,24 April 2008,Miss Katie Daniel,Panel
4649,Engineering Socio-Technical Systems Panel,25 April 2008,Miss Hayley Dash,Panel
4626,Platforms Panel April 2008,28 April 2008,Dr Nicola Goldberg,Panel
4647,RAE/EPSRC Research Fellowships Interview Panel,30 April 2008,Miss Hayley Dash,PanelFellowshipV2
4553,Physics Prioritisation Panel Meeting,30 April 2008,Mrs Valerie Hibberd,Panel
4653,Follow on Fund Panel 2008,01 May 2008,Mr David Mahoney,Panel
4645,Chemistry Prioritisation Panel (Science),06 May 2008,Dr Mark Hylton,Panel
4660,Chemistry Programme Grants Panel,07 May 2008,Miss Katie Daniel,Panel
4608,NSF / Chemistry Panel,14 May 2008,Miss Katie Daniel,Panel
4643,Materials Prioritisation Panel Meeting (May),22 May 2008,Dr Nicola Goldberg,Panel
4659,Science and Innovation Awards 2008,29 May 2008,Miss Samantha Madden,Panel
4670,"Centres for Doctoral Training, Indust Doctorates",03 June 2008,Mrs Cheryl Curtis,Panel
4671,"Centres for Doctoral Training, Mission Programmes",03 June 2008,Mrs Cheryl Curtis,Panel
4669,"Centres for Doctoral Training, Securing the Future",03 June 2008,Mrs Cheryl Curtis,Panel
4630,Mathematics Prioritisation Panel (Science),04 June 2008,Mrs Janet Edwards,Panel
4612,ICT Prioritisation Panel (June 2008),05 June 2008,Dr Cora O'Reilly,Panel
4664,Platform Outline Batch Meeting June 2008,09 June 2008,Dr Talit Ghaffar,Panel
4692,Programme Outline Batch Meeting June 2008,09 June 2008,Mrs Anne Farrow,Panel
4614,Fellowships 2008 Interviews - Panel A,09 June 2008,Mrs Gill Stephens,PanelFellowshipV2
4613,Fellowships 2008 Interviews - Panel F,10 June 2008,Ms Jan Tucker,PanelFellowshipV2
4656,Hydrogen as an Energy Vector (ENG),10 June 2008,Dr Neil Bateman,Panel
4605,Fellowships 2008 Interviews - Panel B,10 June 2008,Mrs Cheryl Curtis,PanelFellowshipV2
4673,Science Bridges Awards - Outlines,11 June 2008,Dr Edward Clarke,Panel
4606,Fellowships 2008 Interviews - Panel D,12 June 2008,Mrs Cheryl Curtis,PanelFellowshipV2
4655,Fellowships 2008 Interviews - Panel C,12 June 2008,Dr Tracy Hanlon,PanelFellowshipV2
4620,Fellowships 2008 Interviews - Panel E,12 June 2008,Mrs Karen McKinna,PanelFellowshipV2
4636,Engineering Science (Components) Panel,17 June 2008,Mr David Mahoney,Panel
4663,Enchancing Damage Tolerance Call Outlines,17 June 2008,Dr Sophie Oldham,Panel
4675,Engineering Systems Panel,18 June 2008,Dr Katie Finch,Panel
4646,Engineering Science (Flow) Panel,19 June 2008,Dr Talit Ghaffar,Panel
4672,Engineering Socio Technical Systems Panel,20 June 2008,Dr Stan Fowler,Panel
4677,Healthcare Engineering Panel (Eng) ,24 June 2008,Dr Prabhat Sakya,Panel
4627,Platforms Panel June 2008,25 June 2008,Dr Talit Ghaffar,Panel
4698,Fellowship Allocation Panel Meeting,26 June 2008,Dr Tracy Hanlon,PanelFellowshipV2
4694,Outlines Aircraft Sift Panel,01 July 2008,Dr Simon Crook,Panel
4674,Chemistry Prioritisation Panel (Science),01 July 2008,Dr Mark Hylton,Panel
4693,ENCYCLOPAEDIC Interview  Panel,16 July 2008,Dr Louise Tillman,Panel
4650,ICT Prioritisation Panel (July 2008),17 July 2008,Dr Wendy Howie,Panel
4651,ICT Large Grants Panel (18 July 08),18 July 2008,Mrs Gill Stephens,Panel
4700,Understanding and Managing Risk (Eng),23 July 2008,Dr Matthew Davis,Panel
4644,Materials Prioritisation Panel Meeting (July),24 July 2008,Dr Sophie Oldham,Panel
4676,MIMA4UK Interview Panel (EP/G012237),28 July 2008,Dr Louise Tillman,Panel
4701,GLOBAL INDUSTRIAL STRUCTURES INTERVIEW PANEL,28 July 2008,Dr Simon Crook,Panel
4554,Physics Prioritisation Panel Meeting,30 July 2008,Dr Craig Walker,Panel
4706,Sonotweezers Interview Panel,31 July 2008,Dr Katie Finch,Panel
4696,CASHTECH visiting panel,04 August 2008,Dr Talit Ghaffar,Panel
4662,Adaptation and Resilience to a Changing Climate ,06 August 2008,Dr David Holtum,Panel
4699,Bio Tribology Interview Panel  ,08 August 2008,Dr Helen Hunt,Panel
4665,Platform Outline Batch Meeting Aug 2008,12 August 2008,Dr Talit Ghaffar,Panel
4707,Challenging Engineering Interview Panel,12 August 2008,Dr Katie Finch,Panel
4685,Programme Outline Batch Meeting Aug 2008,12 August 2008,Mrs Anne Farrow,Panel
4702,Integrated Risk Management Planning,14 August 2008,Dr Gareth Buchanan,Panel
4703,Chemistry Prioritisation Panel (Science),19 August 2008,Dr Jonathan Williams,Panel
4688,Platforms Panel August 2008,28 August 2008,Dr Nicola Goldberg,Panel
4716,Nanotech Grand challenges Outline Panel,02 September 2008,Ms Linda Sayers,Panel
4681,Mathematics Prioritisation Panel,04 September 2008,Ms Katharine Bowes,Panel
4652,ICT Prioritisation Panel (September 08),08 September 2008,Dr Claire Hinchliffe,Panel
4713,Engineering Science (Components) Panel,09 September 2008,Dr Louise Tillman,Panel
4719,Engineering Systems Panel,10 September 2008,Dr Matthew Davis,Panel
4714,Engineering Science (Flow) Panel,11 September 2008,Dr Prabhat Sakya,Panel
4720,Healthcare Engineering Panel (Eng),16 September 2008,Mrs Anne Farrow,Panel
4717,Engineering Socio-Technical Systems,17 September 2008,Mrs Chris Elson,Panel
4724,Programme Grant Prioritisation Panel (Eng),18 September 2008,Dr Katie Finch,Panel
4705,Flow Chemistry,23 September 2008,Dr Christina Guindy,Panel
4725,Interact 6 (Eng),23 September 2008,Dr Hannah Foreman,Panel
4710,Partnerships for Public Engagement (Sept 2008),24 September 2008,Dr Katherine Miller,Panel
4704,Physical Organic Chemistry Panel 2,25 September 2008,Mrs Cheryl Curtis,Panel
4726,Chemistry Prioritisation Panel (Science),01 October 2008,Ms Jan Tucker,Panel
4722,Active Aircraft Full Proposals,02 October 2008,Dr Simon Crook,Panel
4721,Integrated Knowledge Centres (IKC) (ENG),06 October 2008,Mr Robert Heathman,Panel
4738,ICT Large Grant Panel,07 October 2008,Dr Claire Hinchliffe,Panel
4715,Materials Prioritisation Panel OCT,07 October 2008,Dr Susie Douglas,Panel
4666,Platform Outline Batch Meeting Oct 2008,10 October 2008,Dr Talit Ghaffar,Panel
4686,Programme Outline Batch Meeting Oct 2008,10 October 2008,Mrs Anne Farrow,Panel
