panel_id,panel_type,name,organisation,position
4258,PriorPanel,Professor K Wilson,RMIT University,Panel Member
4258,PriorPanel,Professor T Wright,University of Nottingham,Panel Member
4258,PriorPanel,Mrs Jackie Bowles,Engineering and Physical Sciences Research Council,Panel Contact
4279,PriorPanel,Professor A Long,University of Nottingham,Panel Chairperson
4279,PriorPanel,Professor S Eichhorn,University of Bristol,Panel Member
4279,PriorPanel,Professor RG Faulkner,Loughborough University,Panel Member
4279,PriorPanel,Professor M Gee,National Physical Laboratory,Panel Member
4279,PriorPanel,Professor B Kandola,University of Bolton,Panel Member
4279,PriorPanel,Dr J Liddle,University of Northampton,Panel Member
4279,PriorPanel,Professor S Perrier,University of Warwick,Panel Member
4279,PriorPanel,Professor D Thompson,Newcastle University,Panel Member
4279,PriorPanel,Dr Jane Khawaja,Engineering and Physical Sciences Research Council,Panel Contact
4298,PriorPanel,Professor M Farries,Gooch & Housego,Panel Chairperson
4298,PriorPanel,Dr PD Buckle,Cardiff University,Panel Member
4298,PriorPanel,Professor TS Jones,University of Birmingham,Panel Member
4298,PriorPanel,Dr I Khrushchev,Aston University,Panel Member
4298,PriorPanel,Professor D Ritchie,University of Cambridge,Panel Member
4298,PriorPanel,Professor AJ Seeds,UCL,Panel Member
4298,PriorPanel,Dr Tracy Hanlon,Engineering and Physical Sciences Research Council,Panel Contact
4312,PriorPanel,Professor Sir JJ O'Reilly,Cranfield University,Panel Chairperson
4312,PriorPanel,Professor J Binner,University of Birmingham,Panel Member
4312,PriorPanel,Professor T Brown,University of Oxford,Panel Member
4312,PriorPanel,Professor D Fearn,University of Glasgow,Panel Member
4312,PriorPanel,Professor BN Murdin,University of Surrey,Panel Member
4312,PriorPanel,Professor SRP Silva,University of Surrey,Panel Member
4312,PriorPanel,Dr M Ward,Birmingham City University,Panel Member
4312,PriorPanel,Dr Joanne Ross,Engineering and Physical Sciences Research Council,Panel Contact
4301,PriorPanel,Professor B Gilbert,University of York,Panel Chairperson
4301,PriorPanel,Professor CA Hunter,University of Cambridge,Panel Member
4301,PriorPanel,Professor D Lennon,University of Glasgow,Panel Member
4301,PriorPanel,Professor JA Murphy,University of Strathclyde,Panel Member
4301,PriorPanel,Ms Zoe Brown,Engineering and Physical Sciences Research Council,Panel Contact
4277,PriorPanel,Professor KD Glazebrook,Lancaster University,Panel Chairperson
4277,PriorPanel,Professor RD Baker,University of Salford,Panel Member
4277,PriorPanel,Professor J Billingham,University of Nottingham,Panel Member
4277,PriorPanel,Dr A Craig,"Durham, University of",Panel Member
4277,PriorPanel,Professor MD Groves,Loughborough University,Panel Member
4277,PriorPanel,Professor A Lazarev,Lancaster University,Panel Member
4277,PriorPanel,Professor JR Partington,University of Leeds,Panel Member
4277,PriorPanel,Professor K Wendland,Albert Ludwig University of Freiburg,Panel Member
4277,PriorPanel,Dr Richard Aisbitt,Engineering and Physical Sciences Research Council,Panel Contact
4305,PriorPanel,Professor A Hurlbert,Newcastle University,Panel Chairperson
4305,PriorPanel,Professor P Cheng,University of Sussex,Panel Member
4305,PriorPanel,Professor PM Hall,University of Bath,Panel Member
4305,PriorPanel,Professor MA Huckvale,UCL,Panel Member
4305,PriorPanel,Dr KPA O'Hara,Microsoft,Panel Member
4305,PriorPanel,Professor G Yang,Shanghai Jiao Tong University,Panel Member
4305,PriorPanel,Mrs Mary Hassan,Engineering and Physical Sciences Research Council,Panel Contact
4273,PriorPanel,Professor I Guymer,University of Sheffield,Panel Chairperson
4273,PriorPanel,Professor MJ Biggs,Nottingham Trent University,Panel Member
4273,PriorPanel,Professor TJ Cox,University of Salford,Panel Member
4273,PriorPanel,Dr J Kelman,Minton Treharne & Davies Ltd,Panel Member
4273,PriorPanel,Professor A Lapkin,University of Cambridge,Panel Member
4273,PriorPanel,Professor R Martinez-Botas,Imperial College London,Panel Member
4273,PriorPanel,Professor B Murray,University of Leeds,Panel Member
4273,PriorPanel,Professor N Qin,University of Sheffield,Panel Member
4273,PriorPanel,Professor B Tohidi,Heriot-Watt University,Panel Member
4273,PriorPanel,Professor Y Yan,University of Nottingham,Panel Member
4273,PriorPanel,Dr Prabhat Sakya,Engineering and Physical Sciences Research Council,Panel Contact
4317,PriorPanel,Professor DW Knight,Cardiff University,Panel Chairperson
4317,PriorPanel,Professor J Clark,University of Glasgow,Panel Member
4317,PriorPanel,Dr S Dann,Loughborough University,Panel Member
4317,PriorPanel,Professor J Dyke,University of Southampton,Panel Member
4317,PriorPanel,Professor MA Halcrow,University of Leeds,Panel Member
4317,PriorPanel,Professor W Hayes,University of Reading,Panel Member
4317,PriorPanel,Professor J Hobbs,University of Sheffield,Panel Member
4317,PriorPanel,Dr D MacQuarrie,University of York,Panel Member
4317,PriorPanel,Professor R Mulvey,University of Strathclyde,Panel Member
4317,PriorPanel,Professor P Popelier,"University of Manchester, The",Panel Member
4317,PriorPanel,Dr A Sutherland,University of Glasgow,Panel Member
4317,PriorPanel,Professor CR Timmel,University of Oxford,Panel Member
4317,PriorPanel,Dr Dai Jenkins,Engineering and Physical Sciences Research Council,Panel Contact
4326,PriorPanel,Professor R Templer,Imperial College London,Panel Chairperson
4326,PriorPanel,Dr R Leese,Smith Institute,Panel Member
4326,PriorPanel,Mrs A Starr,National Composites Centre,Panel Member
4326,PriorPanel,Ms Jan Tucker,Engineering and Physical Sciences Research Council,Panel Contact
4217,PriorPanel,Professor CF McConville,RMIT University,Panel Chairperson
4217,PriorPanel,Professor PF Barker,UCL,Panel Member
4217,PriorPanel,Professor G Gehring,University of Sheffield,Panel Member
4217,PriorPanel,Professor AG Green,UCL,Panel Member
4217,PriorPanel,Professor M Kim,Imperial College London,Panel Member
4217,PriorPanel,Dr A Laird,University of York,Panel Member
4217,PriorPanel,Professor T Monteiro,UCL,Panel Member
4217,PriorPanel,Professor H Summers,Swansea University,Panel Member
4217,PriorPanel,Dr Steve Milsom,Engineering and Physical Sciences Research Council,Panel Contact
4328,PriorPanel,Dr I Thayne,University of Glasgow,Panel Chairperson
4328,PriorPanel,Professor B Al-Hashimi,University of Southampton,Panel Member
4328,PriorPanel,Professor JF Annett,University of Bristol,Panel Member
4328,PriorPanel,Professor PR Chalker,University of Liverpool,Panel Member
4328,PriorPanel,Professor AG Cullis,University of Sheffield,Panel Member
4328,PriorPanel,Professor DC Jiles,Cardiff University,Panel Member
4328,PriorPanel,Professor ML Turner,"University of Manchester, The",Panel Member
4328,PriorPanel,Professor AJ Walton,University of Edinburgh,Panel Member
4328,PriorPanel,Dr PJ Ward,Tyndall National Institute,Panel Member
4328,PriorPanel,Mr Douglas Niven,Engineering and Physical Sciences Research Council,Panel Contact
4330,PriorPanel,Professor AM Mullis,University of Leeds,Panel Chairperson
4330,PriorPanel,Professor J Binner,University of Birmingham,Panel Member
4330,PriorPanel,Professor S Blackburn,University of Birmingham,Panel Member
4330,PriorPanel,Professor JW Brooks,University of Birmingham,Panel Member
4330,PriorPanel,Professor JA Covas,University of Minho,Panel Member
4330,PriorPanel,Professor S Eichhorn,University of Bristol,Panel Member
4330,PriorPanel,Dr AJ Sutherland,Aston University,Panel Member
4330,PriorPanel,Professor J Sweeney,University of Bradford,Panel Member
4330,PriorPanel,Dr Jane Khawaja,Engineering and Physical Sciences Research Council,Panel Contact
4338,PriorPanel,Dr SE Day,UCL,Panel Chairperson
4338,PriorPanel,Professor M Adams,University of Essex,Panel Member
4338,PriorPanel,Professor CTA Brown,University of St Andrews,Panel Member
4338,PriorPanel,Dr PD Buckle,Cardiff University,Panel Member
4338,PriorPanel,Professor A Holmes,Imperial College London,Panel Member
4338,PriorPanel,Professor DJ Paul,University of Glasgow,Panel Member
4338,PriorPanel,Professor Y Vardaxoglou,Loughborough University,Panel Member
4338,PriorPanel,Dr Tracy Hanlon,Engineering and Physical Sciences Research Council,Panel Contact
4360,PriorPanel,Professor GE Thompson,"University of Manchester, The",Panel Chairperson
4360,PriorPanel,Professor DJ Bacon,University of Liverpool,Panel Member
4360,PriorPanel,Dr P Morris,Tata Steel,Panel Member
4360,PriorPanel,Professor J Pan,University of Leicester,Panel Member
4360,PriorPanel,Dr JH Tweed,KTN - Energy Generation and Supply,Panel Member
4360,PriorPanel,Dr Nathan Davies,Engineering and Physical Sciences Research Council,Panel Contact
4340,PriorPanel,Professor T Rayment,Private Address,Panel Chairperson
4340,PriorPanel,Dr J Barker,Innospce Inc.,Panel Member
4340,PriorPanel,Professor JG Frey,University of Southampton,Panel Member
4340,PriorPanel,Professor CG Frost,University of Bath,Panel Member
4340,PriorPanel,Professor C D Garner,University of Nottingham,Panel Member
4340,PriorPanel,Dr K Izod,Newcastle University,Panel Member
4340,PriorPanel,Professor J Kohanoff,Queen's University of Belfast,Panel Member
4340,PriorPanel,Professor N McKeown,University of Edinburgh,Panel Member
4340,PriorPanel,Professor RE Morris,University of St Andrews,Panel Member
4340,PriorPanel,Dr GW Weaver,Loughborough University,Panel Member
4340,PriorPanel,Professor A Whiting,"Durham, University of",Panel Member
4340,PriorPanel,Professor N Winterton,University of Liverpool,Panel Member
4340,PriorPanel,Dr Richard Aisbitt,Engineering and Physical Sciences Research Council,Panel Contact
4308,PriorPanel,Professor JR Hunton,"Durham, University of",Panel Chairperson
4308,PriorPanel,Professor RCH Cheng,University of Southampton,Panel Member
4308,PriorPanel,Professor R Crouch,"City, University of London",Panel Member
4308,PriorPanel,Professor UG Grimm,Open University,Panel Member
4308,PriorPanel,Professor M Nazarov,University of York,Panel Member
4308,PriorPanel,Professor TN Phillips,Cardiff University,Panel Member
4308,PriorPanel,Dr D Rumynin,University of Warwick,Panel Member
4308,PriorPanel,Dr T Shardlow,University of Bath,Panel Member
4308,PriorPanel,Professor E Shargorodsky,Kings College London,Panel Member
4308,PriorPanel,Mrs Jackie Bowles,Engineering and Physical Sciences Research Council,Panel Contact
4286,PriorPanel,Professor DJ Oldham,University of Liverpool,Panel Chairperson
4286,PriorPanel,Dr DJ Atkinson,Newcastle University,Panel Member
4286,PriorPanel,Professor AC Collop,De Montfort University,Panel Member
4286,PriorPanel,Professor DRS Cumming,University of Glasgow,Panel Member
4286,PriorPanel,Professor P Datta,"Northumbria, University of",Panel Member
4286,PriorPanel,Professor RS Dwyer-Joyce,University of Sheffield,Panel Member
4286,PriorPanel,Professor J Forth,University of Leeds,Panel Member
4286,PriorPanel,Professor J McBride,University of Southampton,Panel Member
4286,PriorPanel,Professor D Mynors,Brunel University London,Panel Member
4286,PriorPanel,Dr Robin Hayden,Engineering and Physical Sciences Research Council,Panel Contact
4293,PriorPanel,Dr I McConvey,McConvey Consultants Ltd,Panel Chairperson
4293,PriorPanel,Dr S Ashforth-Frost,University of Nottingham,Panel Member
4293,PriorPanel,Professor I Castro,University of Southampton,Panel Member
4293,PriorPanel,Professor DM Causon,Manchester Metropolitan University,Panel Member
4293,PriorPanel,Professor CJ Chapman,Keele University,Panel Member
4293,PriorPanel,Professor ZF Cui,University of Oxford,Panel Member
4293,PriorPanel,Professor CP Garner,Loughborough University,Panel Member
4293,PriorPanel,Professor S Kalliadasis,Imperial College London,Panel Member
4293,PriorPanel,Professor H Yeung,Cranfield University,Panel Member
4293,PriorPanel,Dr Pilar Sepulveda,Engineering and Physical Sciences Research Council,Panel Contact
4372,PriorPanel,Professor P Harrison,University of South Wales,Panel Chairperson
