scheme,announced,unfunded,referred_to_a_later_panel,decision_still_awaited,funding_rate_percent_of_grant_number,panel_id,panel_type,invited_for_interview,not_invited_for_interview,final_decision_yet_to_be_made,not_funded
Summary:,0,0,14,0,0,4243,PriorPanel,NA,NA,NA,NA
Standard Research,0,0,12,0,0,4260,PriorPanel,NA,NA,NA,NA
Summary:,0,0,12,0,0,4260,PriorPanel,NA,NA,NA,NA
Senior Fellowship,0,0,2,0,0,4242,PriorPanel,NA,NA,NA,NA
Advanced Fellowship,0,0,14,0,0,4242,PriorPanel,NA,NA,NA,NA
Summary:,0,0,16,0,0,4242,PriorPanel,NA,NA,NA,NA
Standard Research,0,0,1,0,0,4246,PriorPanel,NA,NA,NA,NA
Summary:,0,0,1,0,0,4246,PriorPanel,NA,NA,NA,NA
Senior Fellowship,0,0,3,0,0,4232,PriorPanel,NA,NA,NA,NA
Advanced Fellowship,0,0,16,0,0,4232,PriorPanel,NA,NA,NA,NA
Summary:,0,0,19,0,0,4232,PriorPanel,NA,NA,NA,NA
Standard Research,0,0,1,0,0,4275,PriorPanel,NA,NA,NA,NA
Summary:,0,0,1,0,0,4275,PriorPanel,NA,NA,NA,NA
Standard Research,0,0,1,0,0,4249,PriorPanel,NA,NA,NA,NA
Summary:,0,0,1,0,0,4249,PriorPanel,NA,NA,NA,NA
Advanced Fellowship,0,0,12,0,0,4292,PriorPanel,NA,NA,NA,NA
Summary:,0,0,12,0,0,4292,PriorPanel,NA,NA,NA,NA
Advanced Fellowship,0,0,10,0,0,4289,PriorPanel,NA,NA,NA,NA
Summary:,0,0,10,0,0,4289,PriorPanel,NA,NA,NA,NA
Advanced Fellowship,0,0,6,0,0,4311,PriorPanel,NA,NA,NA,NA
Summary:,0,0,6,0,0,4311,PriorPanel,NA,NA,NA,NA
Advanced Fellowship,0,0,10,0,0,4297,PriorPanel,NA,NA,NA,NA
Summary:,0,0,10,0,0,4297,PriorPanel,NA,NA,NA,NA
Advanced Fellowship,0,0,11,0,0,4309,PriorPanel,NA,NA,NA,NA
Summary:,0,0,11,0,0,4309,PriorPanel,NA,NA,NA,NA
Advanced Fellowship,0,0,7,0,0,4299,PriorPanel,NA,NA,NA,NA
Summary:,0,0,7,0,0,4299,PriorPanel,NA,NA,NA,NA
Standard Research,0,0,3,0,0,4274,PriorPanel,NA,NA,NA,NA
Summary:,0,0,3,0,0,4274,PriorPanel,NA,NA,NA,NA
Standard Research,0,0,3,0,0,4258,PriorPanel,NA,NA,NA,NA
Summary:,0,0,3,0,0,4258,PriorPanel,NA,NA,NA,NA
Standard Research,0,0,3,0,0,4279,PriorPanel,NA,NA,NA,NA
Summary:,0,0,3,0,0,4279,PriorPanel,NA,NA,NA,NA
Standard Research,0,0,5,0,0,4298,PriorPanel,NA,NA,NA,NA
Summary:,0,0,5,0,0,4298,PriorPanel,NA,NA,NA,NA
Senior Fellowship,0,0,12,0,0,4312,PriorPanel,NA,NA,NA,NA
Summary:,0,0,12,0,0,4312,PriorPanel,NA,NA,NA,NA
Standard Research,0,0,57,0,0,4301,PriorPanel,NA,NA,NA,NA
Summary:,0,0,57,0,0,4301,PriorPanel,NA,NA,NA,NA
First Grant Scheme,0,0,1,0,0,4277,PriorPanel,NA,NA,NA,NA
Summary:,0,0,1,0,0,4277,PriorPanel,NA,NA,NA,NA
Standard Research,0,0,3,0,0,4305,PriorPanel,NA,NA,NA,NA
Summary:,0,0,3,0,0,4305,PriorPanel,NA,NA,NA,NA
Standard Research,0,0,1,0,0,4273,PriorPanel,NA,NA,NA,NA
Summary:,0,0,1,0,0,4273,PriorPanel,NA,NA,NA,NA
First Grant Scheme,0,0,1,0,0,4317,PriorPanel,NA,NA,NA,NA
Standard Research,0,0,6,0,0,4317,PriorPanel,NA,NA,NA,NA
Summary:,0,0,7,0,0,4317,PriorPanel,NA,NA,NA,NA
Standard Research,0,0,12,0,0,4326,PriorPanel,NA,NA,NA,NA
Summary:,0,0,12,0,0,4326,PriorPanel,NA,NA,NA,NA
Standard Research,0,0,2,0,0,4217,PriorPanel,NA,NA,NA,NA
Summary:,0,0,2,0,0,4217,PriorPanel,NA,NA,NA,NA
Standard Research,0,0,1,0,0,4328,PriorPanel,NA,NA,NA,NA
Summary:,0,0,1,0,0,4328,PriorPanel,NA,NA,NA,NA
Standard Research,0,0,2,0,0,4330,PriorPanel,NA,NA,NA,NA
Summary:,0,0,2,0,0,4330,PriorPanel,NA,NA,NA,NA
Standard Research,0,0,2,0,0,4338,PriorPanel,NA,NA,NA,NA
Summary:,0,0,2,0,0,4338,PriorPanel,NA,NA,NA,NA
Standard Research,0,0,5,0,0,4360,PriorPanel,NA,NA,NA,NA
Summary:,0,0,5,0,0,4360,PriorPanel,NA,NA,NA,NA
Standard Research,0,0,5,0,0,4340,PriorPanel,NA,NA,NA,NA
Summary:,0,0,5,0,0,4340,PriorPanel,NA,NA,NA,NA
First Grant Scheme,0,0,1,0,0,4308,PriorPanel,NA,NA,NA,NA
Standard Research,0,0,2,0,0,4308,PriorPanel,NA,NA,NA,NA
Summary:,0,0,3,0,0,4308,PriorPanel,NA,NA,NA,NA
Standard Research,0,0,2,0,0,4286,PriorPanel,NA,NA,NA,NA
Summary:,0,0,2,0,0,4286,PriorPanel,NA,NA,NA,NA
Standard Research,0,0,1,0,0,4293,PriorPanel,NA,NA,NA,NA
Summary:,0,0,1,0,0,4293,PriorPanel,NA,NA,NA,NA
Standard Research,0,0,3,0,0,4372,PriorPanel,NA,NA,NA,NA
Summary:,0,0,3,0,0,4372,PriorPanel,NA,NA,NA,NA
Fellowships,6,NA,NA,NA,NA,4573,PanelFellowship,0,0,0,6
Fellowships,10,NA,NA,NA,NA,4637,PanelFellowship,0,0,0,11
Fellowships,9,NA,NA,NA,NA,4639,PanelFellowship,0,0,0,7
Fellowships,3,NA,NA,NA,NA,4640,PanelFellowship,0,0,0,5
