panel_id,panel_type,panel_name,panel_date,panel_contact
4317,PriorPanel,Chemistry Prioritisation Panel (Science),2006-07-04,Dr Dai Jenkins
4326,PriorPanel,Bridging the Gap - Sift Panel,2006-07-04,Ms Jan Tucker
4217,PriorPanel,Physics Prioritisation Panel (Science),2006-07-26,Dr Steve Milsom
4328,PriorPanel,Electronics and Functional Materials,2006-08-09,Mr Douglas Niven
4330,PriorPanel,Structural Materials Prioritisation Panel (Aug 06),2006-08-15,Dr Jane Khawaja
4338,PriorPanel,Joint Photonics Prioritisation Panel (Technology),2006-08-16,Dr Tracy Hanlon
4360,PriorPanel,Flewitt Visiting Panel,2006-08-29,Dr Nathan Davies
4340,PriorPanel,Chemistry Prioritisation Panel (Science),2006-08-30,Dr Richard Aisbitt
4308,PriorPanel,Mathematics Prioritisation Panel (Science),2006-09-08,Mrs Jackie Bowles
4286,PriorPanel,Engineering Science (Components),2006-09-12,Dr Robin Hayden
4293,PriorPanel,Engineering Science (Flow) Panel,2006-09-14,Dr Pilar Sepulveda
4372,PriorPanel,Humphrey's Visiting Panel,2006-09-14,Dr Lindsey-Jane Weston
4374,Panel,KT SUE Sift panel (Virtual) (ENG),2006-10-03,Dr Claire Tansley
4354,Panel,Chemistry Prioritisation Panel (Science),2006-10-17,Dr Steve Milsom
4376,Panel,KT SUE Interview Panel (ENG),2006-10-18,Dr Claire Tansley
4362,Panel,ICT Prioritisation Panel (Technology),2006-10-19,Dr Jane Khawaja
4218,Panel,Physics Prioritisation Panel (Science),2006-10-24,Mrs Michaela Simpson
4363,Panel,Materials Prioritisation Panel (Technology) Oct 06,2006-10-26,Dr Tracy Hanlon
4371,Panel,Engineering Science (Flow) Panel,2006-11-23,Dr Pamela Salyer
4359,Panel,Chemistry Prioritisation Panel (Science),2006-12-04,Dr Dai Jenkins
4418,Panel,Analytical Science Studentship Panel - Sift ,2006-12-12,Ms Jan Tucker
4373,Panel,Materials Prioritisation Panel (Technology) ,2006-12-14,Mrs Janet Edwards
4414,Panel,Chemistry Prioritisation Panel (Science),2007-01-24,Dr Steve Milsom
4394,PanelFellowship,Post Doc Physics Sift Panel ,2007-02-01,NA
4417,Panel,LSCITS - 2/2/07,2007-02-02,Dr Pamela Mason
4397,PanelFellowship,Postdoctoral Fellowships Sift Panel - Mathematics,2007-02-05,NA
4400,PanelFellowship,LSI Postdoctoral Fellowships Sift Panel 2007,2007-02-09,NA
4435,Panel,Dongtan Research Networks (Eng),2007-02-12,Dr Claire Tansley
4404,PanelFellowship,Postdoc Fellowships Sift Panel - Computer Science,2007-02-13,NA
4448,Panel,Portfolio Partnerships - Outline Proposals,2007-02-16,Dr Pamela Salyer
4430,Panel,Access to Materials Research Equipment Outlines,2007-02-16,Dr Nicola Goldberg
4450,Panel,Active Aircraft Full Proposals,2007-02-26,Dr Simon Crook
4390,Panel,ICT Large Grants Panel (Technology),2007-03-02,Mrs Mary Hassan
4441,Panel,PPE Responsive Panel,2007-03-14,Miss Rachel Blackford
4420,Panel,Chemistry Prioritisation Panel (Science),2007-03-14,Mrs Michaela Simpson
4431,PanelFellowship,RAE/EPSRC Research Fellowships 2006-07,2007-03-15,NA
4398,PanelFellowship,Engineering Fellowships Sift Panel,2007-03-15,NA
4427,PanelFellowship,Mathematics Fellowships Sift Panel,2007-03-15,NA
4455,Panel,WRAP 2 Visiting Panel (ENG),2007-03-19,Dr Vicky Jones
4462,Panel,TeraGrid '07,2007-03-19,Mrs Trish Mullins
4464,Panel,Hydrogen Energy Consortia (Eng),2007-03-19,Dr Neil Bateman
4453,Panel,Chemistry/Chemical Engineering 2007,2007-03-20,Dr Christina Guindy
4443,Panel,Future Intelligent Transport Systems (FITS) (Eng),2007-03-21,Dr Richard Bailey
4415,PanelFellowship,Physics Fellowships Sift Panel,2007-03-21,NA
4451,Panel,Sustainable Nuclear Power,2007-03-22,Mr Robert Heathman
4428,PanelFellowship,Chemistry Fellowships Sift Panel 2007,2007-03-22,NA
4433,PanelFellowship,Materials Fellowships Sift Panel,2007-03-27,NA
4442,Panel,Strategic Partnerships (P&G),2007-03-28,Dr Claire Wagstaffe
4434,PanelFellowship,ICT Fellowships Sift Panel,2007-03-29,NA
4467,Panel,Challenging Engineering Sift Panel,2007-04-03,Dr Katie Finch
4454,Panel,Follow on Fund 4,2007-04-03,Mr David Mahoney
4440,Panel,ICT Prioritisation Panel Meeting,2007-04-12,Dr Joanne Ross
4437,Panel,Materials Prioritisation Panel April 07,2007-04-13,Mrs Janet Edwards
4463,Panel,HPC Software Development (Science),2007-04-16,Dr Emma Jones
4460,Panel,Engineering Science (Components) Panel,2007-04-17,Dr Prabhat Sakya
4475,PanelFellowship,Maths Advanced Fellowships Interviews 2007,2007-04-17,NA
4477,PanelFellowship,Engineering Fellowships Interview Panel,2007-04-17,NA
4480,PanelFellowship,Chemistry Advanced Fellowships Interview Panel,2007-04-18,NA
4465,Panel,Engineering Systems Panel,2007-04-18,Mr David Mahoney
4446,Panel,Engineering Science (Flow) Panel,2007-04-19,Dr Pamela Salyer
4466,Panel,Engineering SocioTech Systems (Eng),2007-04-20,Dr Pamela Salyer
4488,Panel,Green & Sustainable Chemical Technologies Sift,2007-04-23,Dr Christina Guindy
4472,PanelFellowship,RAE/EPSRC Interview Panel A,2007-04-23,NA
4444,Panel,Healthcare Engineering (Eng),2007-04-24,Dr Robin Hayden
4473,PanelFellowship,RAE/EPSRC Interview Panel B,2007-04-24,NA
4478,PanelFellowship,Physics Fellowships Interview Panel,2007-04-24,NA
4485,PanelFellowship,Materials Fellowships 2007 - Interviews,2007-04-24,NA
4489,PanelFellowship,ICT Fellowships 2007 - Interviews,2007-04-24,NA
4474,PanelFellowship,RAE/EPSRC Interview Panel C,2007-04-25,NA
4367,Panel,Physics Prioritisation Panel (Science),2007-04-25,Dr Ben Rendell
4393,Panel,Platforms Panel April 2007,2007-04-26,Dr David Holtum
4476,Panel,Collaborating for Success Through People,2007-04-30,Dr Andrew Wright
4419,Panel,Chemistry Prioritisation Panel (Science),2007-05-08,Dr Richard Aisbitt
4487,Panel,S&I Outline Panel,2007-05-14,Dr Richard Aisbitt
4468,Panel,Challenging Engineering Interview Panel,2007-05-15,Dr Katie Finch
4484,Panel,EQUAL SMART Resubmission Panel,2007-05-22,Dr Andrew Clark
4486,PanelFellowship,Fellowships Central Allocation Panel 2007,2007-05-24,NA
4439,Panel,Chemistry National Service Panel,2007-05-30,Ms Jan Tucker
4498,Panel,Probabilistic Scenarios Call - Outlines,2007-05-31,Mrs Michelle Lascelles
4408,Panel,Mathematics Prioritisation Panel (Science),2007-06-06,Dr Richard Aisbitt
4481,Panel,ICT Prioritisation Panel (Technology),2007-06-07,Dr Tracy Hanlon
4469,Panel,SUE 2 Interview Panel,2007-06-07,Dr Claire Tansley
4479,Panel,Materials Prioritisation Panel June '07,2007-06-14,Dr Anita Howman
4503,Panel,INI Mathematical Sciences Visiting Panel,2007-06-19,Mrs Jennie Harman
4471,Panel,Engineering Science (Components) Panel,2007-06-19,Dr Robin Hayden
4495,Panel,Engineering Systems Panel,2007-06-20,Dr Prabhat Sakya
4470,Panel,Engineering Science (Flow) Panel,2007-06-21,Dr Pamela Salyer
4482,Panel,Platforms Panel June 2007,2007-06-26,Dr Kathryn Magnay
4497,Panel,Next Generation Facility Users Panel,2007-06-27,Dr Simon Crook
4493,Panel,Healthcare Engineering Panel (ENG),2007-06-28,Mr David Mahoney
4421,Panel,Chemistry Prioritisation Panel (Science),2007-07-02,Dr Ben Rendell
4491,Panel,Chemistry/Chemical Engineering Full Proposal Panel,2007-07-04,Dr Talit Ghaffar
4513,Panel,RCNDE Visiting Panel (Eng),2007-07-10,Dr Katie Finch
4492,Panel,Basic Technology Call 7 Outlines,2007-07-11,Dr Craig Walker
4496,Panel,ICT Prioritisation Panel (Technology),2007-07-19,Dr Edward Whyte
4499,Panel,Access to Materials Res Equip Call (Full Proposal),2007-07-20,Dr Nicola Goldberg
4516,Panel,Flood-Risk Management Research Consortium Phase Tw,2007-07-24,Dr Richard Bailey
4368,Panel,Physics Prioritisation Panel (Science),2007-07-25,Mrs Michelle Lascelles
4504,Panel,Materials Prioritisation Panel July 07,2007-07-26,Mr Martin Sweet
4525,Panel,PAMELA 2 Visiting Panel (Engineering),2007-07-27,Dr Gareth Buchanan
4509,Panel,Green & Sustainable Chemical Technologies,2007-07-31,Dr Christina Guindy
4510,Panel,Energy Feasibility Studies,2007-08-01,Dr Neil Bateman
4535,Panel,HiFu Visiting Panel Meeting (ENG),2007-08-09,Dr Andrew Clark
4534,Panel,FABHAB Visiting Panel (Eng),2007-08-13,Dr Gareth Buchanan
4522,Panel,IMMPETUS Visiting Panel (Engineering),2007-08-14,Dr Louise Tillman
4422,Panel,Chemistry Prioritisation Panel (Science),2007-08-22,Dr Richard Aisbitt
4501,Panel,Platforms Panel August 2007,2007-08-30,Dr Nicola Goldberg
4500,Panel,ICT Prioritisation Panel (Technology),2007-09-04,Dr Tracy Hanlon
4536,Panel,ICT Large Grant Panel (Technology),2007-09-05,Dr Claire Hinchliffe
4409,Panel,Mathematics Prioritisation Panel (Science),2007-09-06,Dr Sarah Fulford
4524,Panel,E.ON-EPSRC Strategic Partnerships,2007-09-07,Mr Robert Heathman
4494,Panel,Engineering Science (Components) Panel,2007-09-11,Mr David Mahoney
4511,Panel,Bridging the Gap - Sift Panel,2007-09-12,Dr Cora O'Reilly
4527,Panel,Engineering Systems Panel,2007-09-12,Mrs Chris Elson
4518,Panel,Materials Prioritisation Panel SEPT (Technology),2007-09-13,Dr Vania Croce
4521,Panel,LSI DTC's Interview Panel,2007-09-16,Dr Gavin Salisbury
4519,Panel,Engineering Science (Flow) Panel,2007-09-18,Dr Prabhat Sakya
4526,Panel,Healthcare Engineering Panel (ENG),2007-09-19,Dr Alexander Hulkes
4520,Panel,Engineering Socio-Technical Systems,2007-09-20,Dr Emma King
4517,Panel,Programme Grants Prioritisation Panel (Eng),2007-09-21,Dr Carmine Ruggiero
4508,Panel,INTERACT 5 Panel (Eng),2007-09-25,Dr Edward Clarke
4507,Panel,Supergen 2 Renewals (Eng),2007-09-26,Dr Neil Bateman
4512,Panel,Bridging the Gap Interviews,2007-10-03,Dr Cora O'Reilly
4556,Panel,Wired and Wireless Intelligent Networked Systems 3,2007-10-08,Dr Nafeesa Simjee
4537,Panel,Chemistry Prioritisation Panel (Science),2007-10-10,Dr Joanne Ross
4531,Panel,Partnerships for Public Engagement Panel,2007-10-11,Miss Rachel Blackford
4548,Panel,Organic Synthetic Chemistry Studentships - Sift,2007-10-11,Dr Christina Guindy
4528,Panel,ICT Prioritisation Panel (Technology),2007-10-18,Dr Anita Howman
4545,Panel,Science and Innovation Awards 2007,2007-10-23,Dr Richard Aisbitt
4546,Panel,Power Networks Research Academy,2007-10-26,Dr Vania Croce
4502,Panel,Platforms Panel October 2007,2007-10-29,Dr Pamela Mason
4369,Panel,Physics Prioritisation Panel (Science),2007-10-31,Dr Ben Rendell
4552,Panel,EPSRC/BAE S4T Panel (ENG),2007-11-01,Dr Paula Duxbury
4564,Panel,Organic Synthetic Students Prioritisation Panel,2007-11-08,Dr Christina Guindy
4540,Panel,Basic Technology Translation Grants Call 2,2007-11-13,Dr Emma King
4542,Panel,Materials Prioritisation Panel November (Tech),2007-11-15,Mr Martin Sweet
4549,Panel,Engineering Science (Components) Panel,2007-11-20,Dr Prabhat Sakya
4544,Panel,Engineering Systems Panel,2007-11-21,Dr Emma King
4538,Panel,Engineering Science (Flow) Panel,2007-11-22,Mr David Mahoney
4557,Panel,Chemistry Prioritisation Panel (Science),2007-11-27,Dr Sarah Fulford
4523,Panel,Probabilistic Scenarios Peer Review Panel,2007-11-27,Dr David Holtum
4410,Panel,Mathematics Prioritisation Panel (Science),2007-11-29,Mrs Valerie Hibberd
4566,Panel,Fellowships 2008 Outline Proposals Panel A,2007-12-03,Dr Tracy Hanlon
4576,Panel,HECToR Capability Challenge,2007-12-03,Dr Dai Jenkins
4563,Panel,NSF / EPSRC Chemistry Call 2007,2007-12-04,Miss Katie Daniel
4567,Panel,Fellowships 2008 Outline Proposals Panel B,2007-12-04,Dr Tracy Hanlon
4551,Panel,Healthcare Engineering Panel (ENG),2007-12-04,Dr Alexander Hulkes
4558,Panel,Engineering Socio-Technical Systems Panel,2007-12-05,Mrs Chris Elson
4568,Panel,Fellowships 2008 Outline Proposals Panel C,2007-12-05,Dr Tracy Hanlon
4529,Panel,ICT Prioritisation Panel (Technology),2007-12-06,Mrs Janet Edwards
4569,Panel,Fellowships 2008 Outline Proposals Panel D,2007-12-10,Dr Tracy Hanlon
4570,Panel,Fellowships 2008 Outline Proposals Panel E,2007-12-10,Mrs Karen McKinna
4571,Panel,Fellowships 2008 Outline Proposals Panel F,2007-12-11,Ms Jan Tucker
4539,Panel,Platform Panel December 2007,2007-12-12,Dr Nicola Goldberg
4562,Panel,ICMS Visiting Panel (Science),2007-12-14,Ms Katharine Bowes
4565,Panel,EPSRC/MRC Info Driven Health 1 Sift Panel (ENG),2007-12-14,Dr Andrew Clark
4581,Panel,Analytical Science Studentships - Sift,2007-12-18,Miss Katie Daniel
4547,Panel,Feasibility Studies for Energy Research II,2008-01-18,Dr Vania Croce
4585,Panel,Chemistry Prioritisation Panel (Science),2008-01-22,Mrs Valerie Hibberd
4530,Panel,ICT Prioritisation Panel (Technology),2008-01-24,Mrs Gill Stephens
4587,Panel,Physical Organic Chemistry Outlines Panel 2008,2008-01-28,Ms Zoe Brown
4541,Panel,Basic Tech Call 7 Full Proposals Panel Mtng 2008,2008-01-29,Dr Craig Walker
4370,Panel,Physics Prioritisation Panel (Science),2008-01-30,Miss Samantha Madden
4561,Panel,Solar Energy Conversion Panel (ENG),2008-01-31,Dr Nathan Davies
4598,Panel,Engineering Science (Components) Panel,2008-02-05,Dr Prabhat Sakya
4584,Panel,Engineering Systems Panel,2008-02-06,Mr David Mahoney
4583,Panel,Engineering Science (Flow) Panel,2008-02-07,Miss Hayley Dash
4596,Panel,LSCITS EngDoc,2008-02-07,Dr Pamela Mason
4572,PanelFellowship,Postdoc Fellowships Sift Panel - Computer Science,2008-02-11,NA
4594,PanelFellowship,LSI Postdoctoral Research Fellowships 2008,2008-02-11,NA
4543,Panel,Materials Prioritisation Panel February (Tech),2008-02-12,Mrs Anne Farrow
4607,Panel,System Approaches to Well Being Panel,2008-02-13,Dr Gavin Salisbury
4600,PanelFellowship,Maths Postdoctoral Fellowships 2008,2008-02-14,NA
4588,Panel,Healthcare Engineering Panel (ENG),2008-02-19,Mr David Mahoney
4601,Panel,Engineering Socio-Technical Systems Panel,2008-02-20,Dr Prabhat Sakya
4603,Panel,e-Science Core Programme Platforms (Sift Panel),2008-02-20,Dr Andrew Wright
4595,PanelFellowship,Postdoc Fellowships in Theoretical Physic - Sift,2008-02-20,NA
4593,Panel,Walking and Cycling (ENG),2008-02-22,Dr Gareth Buchanan
4590,Panel, Nano IDEAS Factory Additional Funding Call Panel ,2008-02-22,Dr Talit Ghaffar
4609,Panel,Collaborative Research With China,2008-02-25,Miss Jacqui Williams
4592,Panel,Nanotechnology Grand Challenges: Energy,2008-02-25,Dr Emma Jones
4579,Panel,Platforms Panel February 2008,2008-02-26,Dr Pamela Mason
4589,Panel,Access to Nanoscience/Tech Research Equip Call,2008-02-26,Dr Matthew Ball
4599,Panel,Information Driven Health Interview panel,2008-02-28,Dr Cora O'Reilly
4574,Panel,ICT Prioritisation Panel (Technology),2008-03-03,Dr Anita Howman
4573,PanelFellowship,Postdoc Fellowships Interview Panel - Comp Science,2008-03-05,NA
4582,Panel,Nuclear Waste Management and Decommissioning,2008-03-05,Miss Jacqui Williams
4623,PanelFellowship,Senior Media Fellowships Sift Panel,2008-03-05,NA
4586,Panel,Ensuring Privacy And Consent (Eng),2008-03-05,Dr Carmine Ruggiero
4559,Panel,Mathematics Prioritisation Panel (Science),2008-03-05,Mrs Michaela Simpson
4637,PanelFellowship,LSI Postdoctoral Fellowships Interview Panel 2008,2008-03-10,NA
4622,Panel,WINES 3 Interview Panel,2008-03-11,Dr Claire Hinchliffe
4615,Panel,Chemistry Prioritisation Panel,2008-03-11,Dr Ben Rendell
4634,Panel,Sustainable Combustion Engines Visiting Panel (Eng,2008-03-12,Dr Neil Bateman
4591,Panel,EON/EPSRC Energy Efficiency,2008-03-13,Dr David Holtum
4618,Panel,Digital Economy Feasibility Studies & Networks,2008-03-13,Dr Cora O'Reilly
4633,Panel,SMART-TOG Visiting Panel (Eng),2008-03-13,Dr Helen Hunt
4604,Panel,e-Science Networking Call,2008-03-13,Dr Andrew Wright
4624,Panel,Partnerships for Public Engagement Call 11,2008-03-13,Dr Katherine Miller
4639,PanelFellowship,Mathematics Postdoctoral Interview Panel,2008-03-13,NA
4619,PanelFellowship,RAE/EPSRC Research Fellowships Sift Panel,2008-03-14,NA
4641,Panel,e-Science Platform Grants Interview Panel,2008-03-17,Ms Jan Tucker
4621,Panel,Materials Prioritisation Panel Meeting (March 08),2008-03-18,Mr Martin Sweet
4638,Panel,Systems Engineering of the Liver Visit Panel (Eng),2008-03-26,Dr Carmine Ruggiero
4640,PanelFellowship,"Postdoc Fellowship Interviews, Theoretical Physics",2008-03-27,NA
4580,Panel,Array Chemistry (2nd Call),2008-03-27,Ms Zoe Brown
4631,Panel,Innovation and Knowledge Centres - Outlines,2008-04-04,Mr Robert Heathman
4635,Panel,Engineering Science (Components) Panel,2008-04-15,Miss Hayley Dash
4632,Panel,Challenging Engineering Outline (Eng),2008-04-16,Dr Katie Finch
4642,Panel,Engineering Systems Panel ,2008-04-16,Dr Prabhat Sakya
4616,Panel,Engineering Science (Flow) Panel,2008-04-17,Mr David Mahoney
4661,PanelFellowshipV2,Senior Media Fellowships 2008 Interviews,2008-04-21,Dr Joanna Coleman
4610,Panel,ICT Prioritisation Panel (April 2008),2008-04-21,Mrs Gill Stephens
4611,Panel,ICT Programme Large Grants Panel,2008-04-22,Dr Claire Hinchliffe
4629,Panel,Healthcare Engineering Panel (ENG),2008-04-22,Dr Prabhat Sakya
4648,Panel, Programme Grants Prioritisation (Eng),2008-04-23,Dr Carmine Ruggiero
4617,Panel,Analytical Science Studentships,2008-04-24,Miss Katie Daniel
4649,Panel,Engineering Socio-Technical Systems Panel,2008-04-25,Miss Hayley Dash
4626,Panel,Platforms Panel April 2008,2008-04-28,Dr Nicola Goldberg
4647,PanelFellowshipV2,RAE/EPSRC Research Fellowships Interview Panel,2008-04-30,Miss Hayley Dash
4553,Panel,Physics Prioritisation Panel Meeting,2008-04-30,Mrs Valerie Hibberd
4653,Panel,Follow on Fund Panel 2008,2008-05-01,Mr David Mahoney
4645,Panel,Chemistry Prioritisation Panel (Science),2008-05-06,Dr Mark Hylton
4660,Panel,Chemistry Programme Grants Panel,2008-05-07,Miss Katie Daniel
4608,Panel,NSF / Chemistry Panel,2008-05-14,Miss Katie Daniel
4643,Panel,Materials Prioritisation Panel Meeting (May),2008-05-22,Dr Nicola Goldberg
4659,Panel,Science and Innovation Awards 2008,2008-05-29,Miss Samantha Madden
4670,Panel,"Centres for Doctoral Training, Indust Doctorates",2008-06-03,Mrs Cheryl Curtis
4671,Panel,"Centres for Doctoral Training, Mission Programmes",2008-06-03,Mrs Cheryl Curtis
4669,Panel,"Centres for Doctoral Training, Securing the Future",2008-06-03,Mrs Cheryl Curtis
4630,Panel,Mathematics Prioritisation Panel (Science),2008-06-04,Mrs Janet Edwards
4612,Panel,ICT Prioritisation Panel (June 2008),2008-06-05,Dr Cora O'Reilly
4664,Panel,Platform Outline Batch Meeting June 2008,2008-06-09,Dr Talit Ghaffar
4692,Panel,Programme Outline Batch Meeting June 2008,2008-06-09,Mrs Anne Farrow
4614,PanelFellowshipV2,Fellowships 2008 Interviews - Panel A,2008-06-09,Mrs Gill Stephens
4613,PanelFellowshipV2,Fellowships 2008 Interviews - Panel F,2008-06-10,Ms Jan Tucker
4656,Panel,Hydrogen as an Energy Vector (ENG),2008-06-10,Dr Neil Bateman
4605,PanelFellowshipV2,Fellowships 2008 Interviews - Panel B,2008-06-10,Mrs Cheryl Curtis
4673,Panel,Science Bridges Awards - Outlines,2008-06-11,Dr Edward Clarke
4606,PanelFellowshipV2,Fellowships 2008 Interviews - Panel D,2008-06-12,Mrs Cheryl Curtis
4655,PanelFellowshipV2,Fellowships 2008 Interviews - Panel C,2008-06-12,Dr Tracy Hanlon
4620,PanelFellowshipV2,Fellowships 2008 Interviews - Panel E,2008-06-12,Mrs Karen McKinna
4636,Panel,Engineering Science (Components) Panel,2008-06-17,Mr David Mahoney
4663,Panel,Enchancing Damage Tolerance Call Outlines,2008-06-17,Dr Sophie Oldham
4675,Panel,Engineering Systems Panel,2008-06-18,Dr Katie Finch
4646,Panel,Engineering Science (Flow) Panel,2008-06-19,Dr Talit Ghaffar
4672,Panel,Engineering Socio Technical Systems Panel,2008-06-20,Dr Stan Fowler
4677,Panel,Healthcare Engineering Panel (Eng) ,2008-06-24,Dr Prabhat Sakya
4627,Panel,Platforms Panel June 2008,2008-06-25,Dr Talit Ghaffar
4698,PanelFellowshipV2,Fellowship Allocation Panel Meeting,2008-06-26,Dr Tracy Hanlon
4694,Panel,Outlines Aircraft Sift Panel,2008-07-01,Dr Simon Crook
4674,Panel,Chemistry Prioritisation Panel (Science),2008-07-01,Dr Mark Hylton
4693,Panel,ENCYCLOPAEDIC Interview  Panel,2008-07-16,Dr Louise Tillman
4650,Panel,ICT Prioritisation Panel (July 2008),2008-07-17,Dr Wendy Howie
4651,Panel,ICT Large Grants Panel (18 July 08),2008-07-18,Mrs Gill Stephens
4700,Panel,Understanding and Managing Risk (Eng),2008-07-23,Dr Matthew Davis
4644,Panel,Materials Prioritisation Panel Meeting (July),2008-07-24,Dr Sophie Oldham
4676,Panel,MIMA4UK Interview Panel (EP/G012237),2008-07-28,Dr Louise Tillman
4701,Panel,GLOBAL INDUSTRIAL STRUCTURES INTERVIEW PANEL,2008-07-28,Dr Simon Crook
4554,Panel,Physics Prioritisation Panel Meeting,2008-07-30,Dr Craig Walker
4706,Panel,Sonotweezers Interview Panel,2008-07-31,Dr Katie Finch
4696,Panel,CASHTECH visiting panel,2008-08-04,Dr Talit Ghaffar
4662,Panel,Adaptation and Resilience to a Changing Climate ,2008-08-06,Dr David Holtum
4699,Panel,Bio Tribology Interview Panel  ,2008-08-08,Dr Helen Hunt
4665,Panel,Platform Outline Batch Meeting Aug 2008,2008-08-12,Dr Talit Ghaffar
4707,Panel,Challenging Engineering Interview Panel,2008-08-12,Dr Katie Finch
4685,Panel,Programme Outline Batch Meeting Aug 2008,2008-08-12,Mrs Anne Farrow
4702,Panel,Integrated Risk Management Planning,2008-08-14,Dr Gareth Buchanan
4703,Panel,Chemistry Prioritisation Panel (Science),2008-08-19,Dr Jonathan Williams
4688,Panel,Platforms Panel August 2008,2008-08-28,Dr Nicola Goldberg
4716,Panel,Nanotech Grand challenges Outline Panel,2008-09-02,Ms Linda Sayers
4681,Panel,Mathematics Prioritisation Panel,2008-09-04,Ms Katharine Bowes
4652,Panel,ICT Prioritisation Panel (September 08),2008-09-08,Dr Claire Hinchliffe
4713,Panel,Engineering Science (Components) Panel,2008-09-09,Dr Louise Tillman
4719,Panel,Engineering Systems Panel,2008-09-10,Dr Matthew Davis
4714,Panel,Engineering Science (Flow) Panel,2008-09-11,Dr Prabhat Sakya
4720,Panel,Healthcare Engineering Panel (Eng),2008-09-16,Mrs Anne Farrow
4717,Panel,Engineering Socio-Technical Systems,2008-09-17,Mrs Chris Elson
4724,Panel,Programme Grant Prioritisation Panel (Eng),2008-09-18,Dr Katie Finch
4705,Panel,Flow Chemistry,2008-09-23,Dr Christina Guindy
4725,Panel,Interact 6 (Eng),2008-09-23,Dr Hannah Foreman
4710,Panel,Partnerships for Public Engagement (Sept 2008),2008-09-24,Dr Katherine Miller
4704,Panel,Physical Organic Chemistry Panel 2,2008-09-25,Mrs Cheryl Curtis
4726,Panel,Chemistry Prioritisation Panel (Science),2008-10-01,Ms Jan Tucker
4722,Panel,Active Aircraft Full Proposals,2008-10-02,Dr Simon Crook
4721,Panel,Integrated Knowledge Centres (IKC) (ENG),2008-10-06,Mr Robert Heathman
4738,Panel,ICT Large Grant Panel,2008-10-07,Dr Claire Hinchliffe
4715,Panel,Materials Prioritisation Panel OCT,2008-10-07,Dr Susie Douglas
4666,Panel,Platform Outline Batch Meeting Oct 2008,2008-10-10,Dr Talit Ghaffar
4686,Panel,Programme Outline Batch Meeting Oct 2008,2008-10-10,Mrs Anne Farrow
