panel_id,panel_type,funding_priority_list,funded,unfunded,referred_to_a_later_panel,decision_still_awaited,funding_rate_percent_of_grant_number,summary_row,table_type,full_proposals_invited,full_proposals_declined,invited_for_interview,not_invited_for_interview,final_decision_yet_to_be_made,not_funded
4414,Panel,RESPONSIVE MODE,0,0,1,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4414,Panel,RESPONSIVE MODE,0,0,1,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4417,Panel,RESPONSIVE MODE,1,0,0,0,100,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4417,Panel,LSCITS RANK LIST - 2ND FEB 07,1,0,0,0,100,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4435,Panel,RESPONSIVE MODE,2,2,0,0,50,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4435,Panel,DONGTAN RESEARCH NETWORKS,2,2,0,0,50,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4450,Panel,TARGETED MODE,8,10,0,0,44,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4450,Panel,ACTIVE AIRCRAFT FULL PROPOSALS,8,10,0,0,44,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4390,Panel,RESPONSIVE MODE,1,0,0,0,100,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4390,Panel,LARGE GRANTS,1,0,0,0,100,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4441,Panel,PUBLIC ENGAGEMENT MODE,1,0,0,0,100,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4441,Panel,PPE RANK LIST MARCH 2007,1,0,0,0,100,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4420,Panel,RESPONSIVE MODE,0,0,1,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4420,Panel,RESPONSIVE MODE,0,0,1,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4455,Panel,RESPONSIVE MODE,0,0,1,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4455,Panel,RESPONSIVE MODE,0,0,1,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4462,Panel,TARGETED MODE,2,0,0,0,100,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4462,Panel,TERAGRID '07 RANK LIST,2,0,0,0,100,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4464,Panel,TARGETED MODE,1,0,0,0,100,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4464,Panel,ENERGY CONSORTIA,1,0,0,0,100,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4453,Panel,TARGETED MODE,0,15,34,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4453,Panel,CHEM/CHEM ENG 2007 SIFT PANEL,0,15,34,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4443,Panel,TARGETED MODE,3,2,0,0,60,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4443,Panel,FUTURE INTELLIGENT TRANSPORT SYSTEMS,3,2,0,0,60,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4451,Panel,TARGETED MODE,1,1,0,0,50,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4451,Panel,SUSTAINABLE NUCLEAR POWER,1,1,0,0,50,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4442,Panel,TARGETED MODE,3,5,0,0,37,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4442,Panel,BOTANICAL EXTRACTS,1,1,0,0,50,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4442,Panel,"NANOFLUIDS",1,2,0,0,33,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4442,Panel,SUDSING,1,2,0,0,33,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4467,Panel,TARGETED MODE,0,24,13,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4467,Panel,CHALLENGING ENGINEERING,0,24,13,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4454,Panel,RESPONSIVE MODE,11,25,0,0,30,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4454,Panel,FOLLOW ON FUND 4TH CALL,11,25,0,0,30,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4440,Panel,RESPONSIVE MODE,1,3,2,0,25,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4440,Panel,STANDARD GRANTS,1,3,2,0,25,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4437,Panel,RESPONSIVE MODE,2,5,0,0,28,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4437,Panel,RESPONSIVE MODE,2,5,0,0,28,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4463,Panel,TARGETED MODE,25,77,0,0,24,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4463,Panel,HPC SOFTWARE DEVELOPMENT 2007,25,77,0,0,24,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4460,Panel,RESPONSIVE MODE,1,4,2,0,20,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4460,Panel,FIRST GRANTS,0,1,0,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4460,Panel,RESPONSIVE MODE,1,3,2,0,25,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4465,Panel,RESPONSIVE MODE,0,4,1,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4465,Panel,FIRST GRANTS,0,1,0,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4465,Panel,RESPONSIVE MODE,0,3,1,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4446,Panel,RESPONSIVE MODE,4,7,1,0,36,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4446,Panel,FIRST GRANT,3,0,0,0,100,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4446,Panel,RESPONSIVE MODE,1,7,1,0,12,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4466,Panel,RESPONSIVE MODE,1,6,0,0,14,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4466,Panel,EQUIPMENT,0,1,0,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4466,Panel,RESPONSIVE MODE,1,5,0,0,16,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4488,Panel,TARGETED MODE,0,26,17,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4488,Panel,GREEN & SUSTAINABLE CHEMICAL TECHNOLOGIES SIFT,0,26,17,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4444,Panel,RESPONSIVE MODE,0,7,0,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4444,Panel,EQUIPMENT,0,1,0,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4444,Panel,STANDARD RESPONSIVE MODE PROPOSALS,0,6,0,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4367,Panel,RESPONSIVE MODE,4,10,0,0,28,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4367,Panel,CRITICAL MASS,1,3,0,0,25,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4367,Panel,RESPONSIVE MODE,2,7,0,0,22,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4367,Panel,SIGNPOSTING,1,0,0,0,100,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4393,Panel,RESPONSIVE MODE,0,1,0,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4393,Panel,ICT NEW PLATFORMS,0,1,0,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4476,Panel,TARGETED MODE,39,38,0,0,50,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4476,Panel,RESEARCH GROUPS,16,18,0,0,47,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4476,Panel,SINGLE RESEARCHER,23,20,0,0,53,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4419,Panel,RESPONSIVE MODE,16,22,3,0,42,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4419,Panel,FIRST GRANTS,4,1,0,0,80,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4419,Panel,RESPONSIVE MODE,12,21,3,0,36,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4468,Panel,TARGETED MODE,7,6,0,0,53,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4468,Panel,CHALLENGING ENGINEERING,7,6,0,0,53,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4484,Panel,TARGETED MODE,1,0,0,0,100,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4484,Panel,EQUAL SMART RESUBMISSION,1,0,0,0,100,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4439,Panel,TARGETED MODE,1,1,0,0,50,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4439,Panel,CHEMISTRY NATIONAL SERVICE PANEL,1,1,0,0,50,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4408,Panel,RESPONSIVE MODE,10,24,0,0,29,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4408,Panel,FIRST GRANTS,2,3,0,0,40,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4408,Panel,RESPONSIVE MODE,7,21,0,0,25,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4408,Panel,WORKSHOPS,1,0,0,0,100,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4481,Panel,RESPONSIVE MODE,12,19,2,0,38,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4481,Panel,FIRST GRANT,3,1,0,0,75,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4481,Panel,RESPONSIVE MODE,9,18,2,0,33,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4481,Panel,NA,NA,NA,NA,NA,NA,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4481,Panel,TARGETED MODE,3,0,0,0,100,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4481,Panel,UK SPORTS ACHIEVING CALL,3,0,0,0,100,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4469,Panel,TARGETED MODE,6,6,0,0,50,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4469,Panel,SUE 2,6,6,0,0,50,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4479,Panel,RESPONSIVE MODE,10,20,1,0,33,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4479,Panel,FIRST GRANTS,2,1,0,0,66,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4479,Panel,RESPONSIVE MODE,8,19,1,0,29,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4503,Panel,RESPONSIVE MODE,1,0,0,0,100,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4503,Panel,ISAAC NEWTON INSTITUTE,1,0,0,0,100,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4471,Panel,RESPONSIVE MODE,5,11,1,0,31,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4471,Panel,EQUIPMENT,1,1,0,0,50,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4471,Panel,FIRST GRANTS,1,1,0,0,50,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4471,Panel,NETWORKS,0,1,0,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4471,Panel,RESPONSIVE MODE,3,8,1,0,27,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4495,Panel,RESPONSIVE MODE,3,7,1,0,30,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4495,Panel,FIRST GRANTS,1,0,0,0,100,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4495,Panel,NETWORKS,0,1,0,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4495,Panel,RESPONSIVE MODE,2,6,1,0,25,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4495,Panel,NA,NA,NA,NA,NA,NA,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4495,Panel,TARGETED MODE,2,2,0,0,50,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4495,Panel,UK SPORTS ACHIEVING GOLD,2,2,0,0,50,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4470,Panel,RESPONSIVE MODE,6,17,1,0,26,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4470,Panel,FIRST GRANT,2,1,0,0,66,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4470,Panel,STANDARD,4,16,1,0,20,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4470,Panel,NA,NA,NA,NA,NA,NA,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4470,Panel,TARGETED MODE,2,3,0,0,40,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4470,Panel,UK SPORTS ACHIEVING GOLD,2,3,0,0,40,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4482,Panel,RESPONSIVE MODE,4,5,0,0,44,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4482,Panel,ENGINEERING - NEW PLATFORMS,0,1,0,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4482,Panel,ENGINEERING - RENEWAL PLATFORMS,1,1,0,0,50,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4482,Panel,ICT - NEW PLATFORMS,0,2,0,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4482,Panel,ICT - RENEWAL PLATFORMS,2,0,0,0,100,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4482,Panel,MATERIALS - NEW PLATFORMS,1,1,0,0,50,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4497,Panel,TARGETED MODE,30,87,0,0,25,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4497,Panel,NEXT GENERATION FACILITY RANK LIST,30,87,0,0,25,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4493,Panel,RESPONSIVE MODE,5,12,3,0,29,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4493,Panel,EQUIPMENT,0,1,0,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4493,Panel,FIRST GRANTS,1,1,0,0,50,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4493,Panel,RESPONSIVE MODE,4,10,3,0,28,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4493,Panel,NA,NA,NA,NA,NA,NA,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4493,Panel,TARGETED MODE,1,1,0,0,50,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4493,Panel,UK SPORTS ACHIEVING GOLD PROPOSALS,1,1,0,0,50,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4421,Panel,RESPONSIVE MODE,16,33,3,0,32,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4421,Panel,CRITICAL MASS,1,5,0,0,16,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4421,Panel,FIRST GRANTS,2,0,0,0,100,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4421,Panel,RESPONSIVE MODE,13,28,3,0,31,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4491,Panel,TARGETED MODE,7,27,0,0,20,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4491,Panel,CHEMISTRY/CHEMICAL ENGINEERING INTERFACE 2007,7,27,0,0,20,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4513,Panel,RESPONSIVE MODE,0,0,1,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4513,Panel,UK RESEARCH CENTRE IN NDE,0,0,1,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4496,Panel,RESPONSIVE MODE,13,36,1,0,26,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4496,Panel,FIRST GRANTS,3,2,0,0,60,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4496,Panel,RESPONSIVE MODE,10,34,1,0,22,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4499,Panel,TARGETED MODE,7,4,0,0,63,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4499,Panel,ACCESS TO MATERIALS RESEARCH EQUIPMENT CALL (FULL PROPOSAL'S) RANK LIST,7,4,0,0,63,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4516,Panel,TARGETED MODE,1,0,0,0,100,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4516,Panel,FLOOD-RISK MANAGEMENT RESEARCH CONSORTIUM PHASE TWO BID,1,0,0,0,100,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4368,Panel,RESPONSIVE MODE,10,20,1,0,33,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4368,Panel,FIRST GRANTS,5,5,0,0,50,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4368,Panel,NETWORKS,0,1,0,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4368,Panel,RESPONSIVE MODE,4,11,1,0,26,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4368,Panel,SIGNPOSTING,1,3,0,0,25,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4504,Panel,RESPONSIVE MODE,12,25,1,0,32,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4504,Panel,FIRST GRANTS,2,0,0,0,100,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4504,Panel,RESPONSIVE MODE,10,25,1,0,28,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4525,Panel,RESPONSIVE MODE,0,1,0,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4525,Panel,PAMELA 2 VISITING PANEL,0,1,0,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4509,Panel,TARGETED MODE,7,10,0,0,41,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4509,Panel,GREEN & SUSTAINABLE CHEM TECH RANK LIST,7,10,0,0,41,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4510,Panel,TARGETED MODE,21,58,0,0,26,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4510,Panel,ENERGY FEASIBILITY STUDIES,21,58,0,0,26,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4535,Panel,RESPONSIVE MODE,0,0,1,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4535,Panel,HIFU VISITING PANEL,0,0,1,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4534,Panel,RESPONSIVE MODE,0,0,1,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4534,Panel,FABHAB VISITING PANEL,0,0,1,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4522,Panel,RESPONSIVE MODE,0,0,1,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4522,Panel,IMMPETUS VISITING PANEL,0,0,1,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4422,Panel,RESPONSIVE MODE,12,22,3,0,35,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4422,Panel,FIRST GRANTS,3,0,0,0,100,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4422,Panel,RESPONSIVE MODE,8,22,3,0,26,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4422,Panel,STRATEGIC PARTNERSHIP,1,0,0,0,100,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4501,Panel,RESPONSIVE MODE,3,5,0,0,37,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4501,Panel,ENGINEERING NEW PLATFORMS,1,2,0,0,33,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4501,Panel,ENGINEERING RENEWAL PLATFORMS,1,1,0,0,50,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4501,Panel,ICT NEW PLATFORMS,1,1,0,0,50,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4501,Panel,MATERIALS NEW PLATFORMS,0,1,0,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4500,Panel,RESPONSIVE MODE,14,34,1,0,29,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4500,Panel,FIRST GRANTS,2,2,0,0,50,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4500,Panel,RESPONSIVE MODE,12,32,1,0,27,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4536,Panel,RESPONSIVE MODE,1,3,0,0,25,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4536,Panel,ICT PROGRAMME LARGE GRANTS SEPTEMBER 2007,1,3,0,0,25,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4409,Panel,RESPONSIVE MODE,15,17,0,0,46,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4409,Panel,FIRST GRANTS,3,3,0,0,50,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4409,Panel,MATHEMATICS FOR BUSINESS,1,0,0,0,100,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4409,Panel,NETWORKS,2,0,0,0,100,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4409,Panel,RESPONSIVE MODE,9,14,0,0,39,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4524,Panel,TARGETED MODE,1,1,0,0,50,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4524,Panel,ON-EPSRC STRATEGIC PARTNERSHIPS,1,1,0,0,50,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4494,Panel,RESPONSIVE MODE,5,15,1,0,25,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4494,Panel,FIRST GRANTS,0,2,0,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4494,Panel,RESPONSIVE MODE,5,13,1,0,27,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4511,Panel,TARGETED MODE,0,29,12,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4511,Panel,BRIDGING THE GAPS - SIFT PANEL RANK LIST,0,29,12,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4527,Panel,RESPONSIVE MODE,5,14,0,0,26,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4527,Panel,FIRST GRANTS,0,1,0,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4527,Panel,NETWORKS,1,0,0,0,100,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4527,Panel,RESPONSIVE MODE,4,13,0,0,23,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4518,Panel,RESPONSIVE MODE,7,25,1,0,21,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4518,Panel,FIRST GRANTS,2,2,0,0,50,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4518,Panel,MATERIALS PANEL PRIORITISATION PANEL 13TH SEPT 07,5,23,1,0,17,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4521,Panel,TRAINING MODE,10,5,0,0,66,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4521,Panel,LSI DTCS INTERVIEW PANEL-EXISTING PROPOSALS,7,1,0,0,87,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4521,Panel,LSI DTCS INTERVIEW PANEL-NEW PROPOSALS,3,4,0,0,42,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4519,Panel,RESPONSIVE MODE,11,23,1,0,32,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4519,Panel,EQUIPMENT,1,0,0,0,100,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4519,Panel,FIRST GRANT,3,2,0,0,60,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4519,Panel,STANDARD,7,21,1,0,25,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4526,Panel,RESPONSIVE MODE,10,25,1,0,28,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4526,Panel,EQUIPMENT,1,0,0,0,100,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4526,Panel,FIRST GRANTS,4,3,0,0,57,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4526,Panel,PHILIPS/EPSRC STRATEGIC PARTNERSHIP,0,1,0,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4526,Panel,RESPONSIVE MODE,5,21,1,0,19,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4520,Panel,RESPONSIVE MODE,3,9,0,0,25,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4520,Panel,FIRST GRANT PROPOSALS,0,1,0,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
