panel_id,panel_type,funding_priority_list,funded,unfunded,referred_to_a_later_panel,decision_still_awaited,funding_rate_percent_of_grant_value,summary_row,table_type,full_proposals_invited,full_proposals_declined,invited_for_interview,not_invited_for_interview,final_decision_yet_to_be_made,not_funded
4373,Panel,RESPONSIVE MODE,0,0,503092,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4373,Panel,PEER REVIEW RANK LIST,0,0,503092,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4414,Panel,RESPONSIVE MODE,0,0,232701,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4414,Panel,RESPONSIVE MODE,0,0,232701,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4417,Panel,RESPONSIVE MODE,5055294,0,0,0,100,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4417,Panel,LSCITS RANK LIST - 2ND FEB 07,5055294,0,0,0,100,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4435,Panel,RESPONSIVE MODE,833218,267045,0,0,76,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4435,Panel,DONGTAN RESEARCH NETWORKS,833218,267045,0,0,76,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4450,Panel,TARGETED MODE,1352397,1170684,0,0,54,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4450,Panel,ACTIVE AIRCRAFT FULL PROPOSALS,1352397,1170684,0,0,54,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4390,Panel,RESPONSIVE MODE,3989846,0,0,0,100,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4390,Panel,LARGE GRANTS,3989846,0,0,0,100,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4441,Panel,PUBLIC ENGAGEMENT MODE,109733,0,0,0,100,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4441,Panel,PPE RANK LIST MARCH 2007,109733,0,0,0,100,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4420,Panel,RESPONSIVE MODE,0,0,127751,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4420,Panel,RESPONSIVE MODE,0,0,127751,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4455,Panel,RESPONSIVE MODE,0,0,3201652,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4455,Panel,RESPONSIVE MODE,0,0,3201652,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4462,Panel,TARGETED MODE,209164,0,0,0,100,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4462,Panel,TERAGRID '07 RANK LIST,209164,0,0,0,100,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4464,Panel,TARGETED MODE,4106687,0,0,0,100,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4464,Panel,ENERGY CONSORTIA,4106687,0,0,0,100,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4453,Panel,TARGETED MODE,0,7467662,18492797,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4453,Panel,CHEM/CHEM ENG 2007 SIFT PANEL,0,7467662,18492797,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4443,Panel,TARGETED MODE,3322316,1999797,0,0,62,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4443,Panel,FUTURE INTELLIGENT TRANSPORT SYSTEMS,3322316,1999797,0,0,62,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4451,Panel,TARGETED MODE,2114143,1883419,0,0,53,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4451,Panel,SUSTAINABLE NUCLEAR POWER,2114143,1883419,0,0,53,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4442,Panel,TARGETED MODE,2346205,2620376,0,0,47,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4442,Panel,BOTANICAL EXTRACTS,932055,623469,0,0,60,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4442,Panel,"NANOFLUIDS",614147,942965,0,0,39,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4442,Panel,SUDSING,800003,1053942,0,0,43,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4467,Panel,TARGETED MODE,0,22006005,12886071,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4467,Panel,CHALLENGING ENGINEERING,0,22006005,12886071,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4454,Panel,RESPONSIVE MODE,967450,2183671,0,0,31,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4454,Panel,FOLLOW ON FUND 4TH CALL,967450,2183671,0,0,31,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4440,Panel,RESPONSIVE MODE,873499,1301808,996094,0,40,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4440,Panel,STANDARD GRANTS,873499,1301808,996094,0,40,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4437,Panel,RESPONSIVE MODE,774970,5607568,0,0,12,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4437,Panel,RESPONSIVE MODE,774970,5607568,0,0,12,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4463,Panel,TARGETED MODE,3904014,13592031,0,0,22,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4463,Panel,HPC SOFTWARE DEVELOPMENT 2007,3904014,13592031,0,0,22,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4460,Panel,RESPONSIVE MODE,462425,1353548,1235526,0,25,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4460,Panel,FIRST GRANTS,0,319971,0,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4460,Panel,RESPONSIVE MODE,462425,1033576,1235526,0,31,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4465,Panel,RESPONSIVE MODE,0,1379078,445850,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4465,Panel,FIRST GRANTS,0,315021,0,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4465,Panel,RESPONSIVE MODE,0,1064057,445850,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4446,Panel,RESPONSIVE MODE,870359,2024746,142242,0,30,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4446,Panel,FIRST GRANT,502269,0,0,0,100,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4446,Panel,RESPONSIVE MODE,368090,2024746,142242,0,15,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4466,Panel,RESPONSIVE MODE,633331,1757059,0,0,26,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4466,Panel,EQUIPMENT,0,137296,0,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4466,Panel,RESPONSIVE MODE,633331,1619763,0,0,28,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4488,Panel,TARGETED MODE,0,10071141,6335104,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4488,Panel,GREEN & SUSTAINABLE CHEMICAL TECHNOLOGIES SIFT,0,10071141,6335104,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4444,Panel,RESPONSIVE MODE,0,2448753,0,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4444,Panel,EQUIPMENT,0,49477,0,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4444,Panel,STANDARD RESPONSIVE MODE PROPOSALS,0,2399276,0,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4367,Panel,RESPONSIVE MODE,5696322,15160941,0,0,27,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4367,Panel,CRITICAL MASS,3761783,12249602,0,0,23,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4367,Panel,RESPONSIVE MODE,1371492,2911339,0,0,32,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4367,Panel,SIGNPOSTING,563047,0,0,0,100,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4393,Panel,RESPONSIVE MODE,0,899267,0,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4393,Panel,ICT NEW PLATFORMS,0,899267,0,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4476,Panel,TARGETED MODE,3964293,4225558,0,0,48,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4476,Panel,RESEARCH GROUPS,2861352,3208951,0,0,47,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4476,Panel,SINGLE RESEARCHER,1102941,1016607,0,0,52,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4419,Panel,RESPONSIVE MODE,4822678,6562760,737086,0,42,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4419,Panel,FIRST GRANTS,1029637,299482,0,0,77,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4419,Panel,RESPONSIVE MODE,3793041,6263277,737086,0,38,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4468,Panel,TARGETED MODE,7194677,5691394,0,0,56,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4468,Panel,CHALLENGING ENGINEERING,7194677,5691394,0,0,56,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4484,Panel,TARGETED MODE,2393923,0,0,0,100,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4484,Panel,EQUAL SMART RESUBMISSION,2393923,0,0,0,100,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4439,Panel,TARGETED MODE,2781689,3981185,0,0,41,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4439,Panel,CHEMISTRY NATIONAL SERVICE PANEL,2781689,3981185,0,0,41,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4408,Panel,RESPONSIVE MODE,2440986,6032309,0,0,29,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4408,Panel,FIRST GRANTS,503313,619333,0,0,45,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4408,Panel,RESPONSIVE MODE,1868238,5412976,0,0,26,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4408,Panel,WORKSHOPS,69435,0,0,0,100,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4481,Panel,RESPONSIVE MODE,3949010,7440679,1202119,0,35,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4481,Panel,FIRST GRANT,636630,193581,0,0,77,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4481,Panel,RESPONSIVE MODE,3312380,7247098,1202119,0,31,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4481,Panel,NA,NA,NA,NA,NA,NA,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4481,Panel,TARGETED MODE,300955,0,0,0,100,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4481,Panel,UK SPORTS ACHIEVING CALL,300955,0,0,0,100,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4469,Panel,TARGETED MODE,16205926,15117151,0,0,52,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4469,Panel,SUE 2,16205926,15117151,0,0,52,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4479,Panel,RESPONSIVE MODE,3455184,9669526,89672,0,26,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4479,Panel,FIRST GRANTS,532757,181987,0,0,75,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4479,Panel,RESPONSIVE MODE,2922428,9487539,89672,0,24,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4503,Panel,RESPONSIVE MODE,9733806,0,0,0,100,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4503,Panel,ISAAC NEWTON INSTITUTE,9733806,0,0,0,100,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4471,Panel,RESPONSIVE MODE,4470598,3977326,791493,0,53,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4471,Panel,EQUIPMENT,2496362,158301,0,0,94,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4471,Panel,FIRST GRANTS,266121,260852,0,0,50,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4471,Panel,NETWORKS,0,62698,0,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4471,Panel,RESPONSIVE MODE,1708116,3495475,791493,0,33,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4495,Panel,RESPONSIVE MODE,1460902,2750594,574387,0,35,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4495,Panel,FIRST GRANTS,298770,0,0,0,100,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4495,Panel,NETWORKS,0,104901,0,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4495,Panel,RESPONSIVE MODE,1162132,2645693,574387,0,31,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4495,Panel,NA,NA,NA,NA,NA,NA,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4495,Panel,TARGETED MODE,130164,137199,0,0,49,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4495,Panel,UK SPORTS ACHIEVING GOLD,130164,137199,0,0,49,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4470,Panel,RESPONSIVE MODE,1661009,6909009,736069,0,19,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4470,Panel,FIRST GRANT,418682,195070,0,0,68,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4470,Panel,STANDARD,1242328,6713939,736069,0,16,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4470,Panel,NA,NA,NA,NA,NA,NA,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4470,Panel,TARGETED MODE,221029,289149,0,0,43,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4470,Panel,UK SPORTS ACHIEVING GOLD,221029,289149,0,0,43,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4482,Panel,RESPONSIVE MODE,3511362,4560377,0,0,44,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4482,Panel,ENGINEERING - NEW PLATFORMS,0,833168,0,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4482,Panel,ENGINEERING - RENEWAL PLATFORMS,943293,684323,0,0,58,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4482,Panel,ICT - NEW PLATFORMS,0,2306763,0,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4482,Panel,ICT - RENEWAL PLATFORMS,1669882,0,0,0,100,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4482,Panel,MATERIALS - NEW PLATFORMS,898187,736124,0,0,55,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4497,Panel,TARGETED MODE,4114185,12858993,0,0,24,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4497,Panel,NEXT GENERATION FACILITY RANK LIST,4114185,12858993,0,0,24,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4493,Panel,RESPONSIVE MODE,1984435,4605929,1184634,0,30,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4493,Panel,EQUIPMENT,0,26097,0,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4493,Panel,FIRST GRANTS,332969,272454,0,0,55,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4493,Panel,RESPONSIVE MODE,1651466,4307378,1184634,0,28,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4493,Panel,NA,NA,NA,NA,NA,NA,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4493,Panel,TARGETED MODE,62534,78497,0,0,44,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4493,Panel,UK SPORTS ACHIEVING GOLD PROPOSALS,62534,78497,0,0,44,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4421,Panel,RESPONSIVE MODE,4105655,13989212,1225990,0,23,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4421,Panel,CRITICAL MASS,555530,6144925,0,0,8,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4421,Panel,FIRST GRANTS,490596,0,0,0,100,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4421,Panel,RESPONSIVE MODE,3059529,7844286,1225990,0,28,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4491,Panel,TARGETED MODE,3710915,14781882,0,0,20,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4491,Panel,CHEMISTRY/CHEMICAL ENGINEERING INTERFACE 2007,3710915,14781882,0,0,20,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4513,Panel,RESPONSIVE MODE,0,0,2771600,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4513,Panel,UK RESEARCH CENTRE IN NDE,0,0,2771600,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4496,Panel,RESPONSIVE MODE,4719661,14192373,530510,0,25,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4496,Panel,FIRST GRANTS,696216,534083,0,0,57,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4496,Panel,RESPONSIVE MODE,4023445,13658290,530510,0,23,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4499,Panel,TARGETED MODE,1813221,1288439,0,0,58,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4499,Panel,ACCESS TO MATERIALS RESEARCH EQUIPMENT CALL (FULL PROPOSAL'S) RANK LIST,1813221,1288439,0,0,58,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4516,Panel,TARGETED MODE,7328327,0,0,0,100,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4516,Panel,FLOOD-RISK MANAGEMENT RESEARCH CONSORTIUM PHASE TWO BID,7328327,0,0,0,100,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4368,Panel,RESPONSIVE MODE,4099102,8171191,1252039,0,33,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4368,Panel,FIRST GRANTS,1587695,1543556,0,0,51,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4368,Panel,NETWORKS,0,111559,0,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4368,Panel,RESPONSIVE MODE,1971919,5032139,1252039,0,28,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4368,Panel,SIGNPOSTING,539488,1483936,0,0,27,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4504,Panel,RESPONSIVE MODE,4901387,10594800,1870482,0,32,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4504,Panel,FIRST GRANTS,598866,0,0,0,100,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4504,Panel,RESPONSIVE MODE,4302521,10594800,1870482,0,29,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4525,Panel,RESPONSIVE MODE,0,3303232,0,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4525,Panel,PAMELA 2 VISITING PANEL,0,3303232,0,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4509,Panel,TARGETED MODE,2366567,3968537,0,0,37,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4509,Panel,GREEN & SUSTAINABLE CHEM TECH RANK LIST,2366567,3968537,0,0,37,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4510,Panel,TARGETED MODE,3907295,10054154,0,0,28,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4510,Panel,ENERGY FEASIBILITY STUDIES,3907295,10054154,0,0,28,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4535,Panel,RESPONSIVE MODE,0,0,4290314,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4535,Panel,HIFU VISITING PANEL,0,0,4290314,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4534,Panel,RESPONSIVE MODE,0,0,2948528,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4534,Panel,FABHAB VISITING PANEL,0,0,2948528,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4522,Panel,RESPONSIVE MODE,0,0,4517374,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4522,Panel,IMMPETUS VISITING PANEL,0,0,4517374,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4422,Panel,RESPONSIVE MODE,3249844,6166095,1423690,0,35,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4422,Panel,FIRST GRANTS,700710,0,0,0,100,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4422,Panel,RESPONSIVE MODE,2405740,6166095,1423690,0,28,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4422,Panel,STRATEGIC PARTNERSHIP,143394,0,0,0,100,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4501,Panel,RESPONSIVE MODE,2361027,4456207,0,0,35,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4501,Panel,ENGINEERING NEW PLATFORMS,935646,1789424,0,0,34,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4501,Panel,ENGINEERING RENEWAL PLATFORMS,665827,931962,0,0,42,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4501,Panel,ICT NEW PLATFORMS,759553,905869,0,0,46,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4501,Panel,MATERIALS NEW PLATFORMS,0,828953,0,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4500,Panel,RESPONSIVE MODE,6612688,15451850,666580,0,30,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4500,Panel,FIRST GRANTS,546643,530029,0,0,51,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4500,Panel,RESPONSIVE MODE,6066045,14921821,666580,0,29,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4536,Panel,RESPONSIVE MODE,4215238,6615342,0,0,39,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4536,Panel,ICT PROGRAMME LARGE GRANTS SEPTEMBER 2007,4215238,6615342,0,0,39,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4409,Panel,RESPONSIVE MODE,2941221,4501187,0,0,40,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4409,Panel,FIRST GRANTS,534710,672990,0,0,44,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4409,Panel,MATHEMATICS FOR BUSINESS,165484,0,0,0,100,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4409,Panel,NETWORKS,263623,0,0,0,100,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4409,Panel,RESPONSIVE MODE,1977404,3828197,0,0,34,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4524,Panel,TARGETED MODE,2085946,1884470,0,0,53,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4524,Panel,ON-EPSRC STRATEGIC PARTNERSHIPS,2085946,1884470,0,0,53,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4494,Panel,RESPONSIVE MODE,1792618,6191927,354897,0,22,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4494,Panel,FIRST GRANTS,0,389115,0,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4494,Panel,RESPONSIVE MODE,1792618,5802812,354897,0,24,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4511,Panel,TARGETED MODE,0,10631339,4428713,0,0,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4511,Panel,BRIDGING THE GAPS - SIFT PANEL RANK LIST,0,10631339,4428713,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4527,Panel,RESPONSIVE MODE,1500582,6899978,0,0,18,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4527,Panel,FIRST GRANTS,0,170026,0,0,0,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4527,Panel,NETWORKS,138120,0,0,0,100,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4527,Panel,RESPONSIVE MODE,1362462,6729952,0,0,17,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4518,Panel,RESPONSIVE MODE,6984899,12545752,363521,0,36,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
4518,Panel,FIRST GRANTS,643343,362621,0,0,64,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4518,Panel,MATERIALS PANEL PRIORITISATION PANEL 13TH SEPT 07,6341556,12183131,363521,0,34,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4521,Panel,TRAINING MODE,46986846,25144886,0,0,65,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4521,Panel,LSI DTCS INTERVIEW PANEL-EXISTING PROPOSALS,28924082,4456000,0,0,87,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4521,Panel,LSI DTCS INTERVIEW PANEL-NEW PROPOSALS,18062764,20688886,0,0,47,FALSE,TYPE 1,NA,NA,NA,NA,NA,NA
4519,Panel,RESPONSIVE MODE,4456889,7790764,298994,0,36,TRUE,TYPE 1,NA,NA,NA,NA,NA,NA
